value,time,diag
1.0,2021-05-01 01:59:00,1
1.0,2021-05-01 02:00:00,0
1.0,2021-05-01 03:13:00,1
1.0,2021-05-01 03:16:00,0
2.0,2021-05-01 04:30:00,0
1.0,2021-05-01 04:42:00,0
2.0,2021-05-01 04:55:00,0
1.0,2021-05-01 05:42:00,0
0.19247378125239878,2021-05-01 06:04:00,1
0.0,2021-05-01 06:09:00,0
0.0,2021-05-01 06:30:00,1
0.0,2021-05-01 06:44:00,0
0.0,2021-05-01 07:47:00,1
0.0,2021-05-01 07:51:00,0
0.0,2021-05-01 08:27:00,1
0.0,2021-05-01 08:31:00,0
0.0,2021-05-01 13:14:00,1
0.0,2021-05-01 13:18:00,0
1.0,2021-05-01 13:52:00,0
1.0,2021-05-01 14:47:00,1
1.0,2021-05-01 14:48:00,0
0.0,2021-05-01 15:23:00,0
0.9999999999999999,2021-05-01 15:38:00,0
2.0,2021-05-01 16:27:00,0
1.0,2021-05-01 16:38:00,0
2.0,2021-05-01 16:40:00,0
1.0,2021-05-01 16:41:00,0
2.0,2021-05-01 17:26:00,0
1.0,2021-05-01 17:34:00,0
2.0,2021-05-01 17:34:00,0
1.0,2021-05-01 17:52:00,0
2.0,2021-05-01 19:54:00,0
1.0,2021-05-01 20:08:00,0
1.0,2021-05-01 22:23:00,1
1.0,2021-05-01 22:25:00,0
1.0,2021-05-01 23:13:00,1
1.0,2021-05-01 23:14:00,0
1.0,2021-05-01 23:59:00,1
1.0,2021-05-02 00:00:00,0
1.0,2021-05-02 00:21:00,1
1.0,2021-05-02 00:25:00,0
2.0,2021-05-02 02:09:00,0
1.0,2021-05-02 02:26:00,0
1.0,2021-05-02 04:03:00,1
1.0,2021-05-02 04:03:00,0
2.0,2021-05-02 04:40:00,0
1.0,2021-05-02 04:42:00,0
2.0,2021-05-02 04:48:00,0
1.0,2021-05-02 05:07:00,0
2.0,2021-05-02 05:11:00,0
1.0,2021-05-02 05:34:00,0
2.0,2021-05-02 05:38:00,0
