value,time,diag
2.0,2021-05-01 04:18:00,0
6.0,2021-05-01 04:33:00,0
14.0,2021-05-01 04:51:00,0
25.0,2021-05-01 05:01:00,0
33.0,2021-05-01 05:31:00,0
50.0,2021-05-01 05:44:00,0
60.0,2021-05-01 06:05:00,0
71.0,2021-05-01 06:21:00,0
76.0,2021-05-01 06:32:00,0
71.0,2021-05-01 06:33:00,0
93.96375839260416,2021-05-01 06:54:00,1
97.0,2021-05-01 06:57:00,0
108.0,2021-05-01 07:01:00,0
138.49961568305528,2021-05-01 07:23:00,1
139.0,2021-05-01 07:23:00,0
282.0,2021-05-01 07:43:00,0
450.0,2021-05-01 07:49:00,0
574.0,2021-05-01 07:57:00,0
410.0,2021-05-01 08:13:00,0
93.0,2021-05-01 08:31:00,0
89.0,2021-05-01 08:44:00,0
93.0,2021-05-01 08:45:00,0
88.0,2021-05-01 08:55:00,0
759.0,2021-05-01 09:17:00,0
776.0,2021-05-01 09:31:00,0
818.0,2021-05-01 09:45:00,0
827.0396039588595,2021-05-01 10:05:00,1
829.0,2021-05-01 10:10:00,0
827.0,2021-05-01 10:17:00,0
806.0,2021-05-01 10:30:00,0
893.0,2021-05-01 10:45:00,0
844.0,2021-05-01 11:00:00,0
722.0,2021-05-01 11:15:00,0
298.99999999999994,2021-05-01 11:30:00,0
289.0,2021-05-01 11:50:00,0
443.40585243290604,2021-05-01 12:12:00,1
476.0,2021-05-01 12:17:00,0
327.0,2021-05-01 12:34:00,0
364.0,2021-05-01 12:40:00,0
325.0,2021-05-01 12:51:00,0
312.0,2021-05-01 13:00:00,0
194.0,2021-05-01 13:22:00,0
93.0,2021-05-01 13:33:00,0
76.0,2021-05-01 13:45:00,0
38.0,2021-05-01 14:00:00,0
42.0,2021-05-01 14:16:00,0
38.0,2021-05-01 14:51:00,0
41.0,2021-05-01 15:00:00,0
59.0,2021-05-01 15:18:00,0
43.0,2021-05-01 15:31:00,0
30.0,2021-05-01 15:46:00,0
26.119581463998347,2021-05-01 16:07:00,1
24.0,2021-05-01 16:19:00,0
15.0,2021-05-01 16:39:00,0
6.0,2021-05-01 16:46:00,0
8.0,2021-05-01 17:01:00,0
5.247826086846599,2021-05-01 17:22:00,1
2.0,2021-05-01 17:47:00,0
0.0,2021-05-01 18:05:00,0
0.0,2021-05-01 18:56:00,1
0.0,2021-05-01 19:15:00,0
0.0,2021-05-01 22:31:00,1
0.0,2021-05-01 22:33:00,0
0.0,2021-05-01 23:53:00,1
0.0,2021-05-02 00:17:00,0
0.0,2021-05-02 00:46:00,1
0.0,2021-05-02 00:56:00,0
0.0,2021-05-02 03:38:00,1
0.0,2021-05-02 03:55:00,0
3.0,2021-05-02 04:32:00,0
9.0,2021-05-02 04:51:00,0
9.0,2021-05-02 05:13:00,1
9.0,2021-05-02 05:23:00,0
41.19866220502671,2021-05-02 05:45:00,1
46.0,2021-05-02 05:48:00,0
44.0,2021-05-02 06:00:00,0
40.0,2021-05-02 06:16:00,0
25.0,2021-05-02 06:45:00,0
17.0,2021-05-02 07:02:00,0
39.0,2021-05-02 07:19:00,0
94.0,2021-05-02 07:30:00,0
127.0,2021-05-02 07:46:00,0
67.0,2021-05-02 08:03:00,0
116.0,2021-05-02 08:15:00,0
161.0,2021-05-02 08:31:00,0
90.84321607786845,2021-05-02 09:02:00,1
85.0,2021-05-02 09:04:00,0
164.0,2021-05-02 09:24:00,0
193.91161289959382,2021-05-02 09:46:00,1
235.0,2021-05-02 10:16:00,0
257.0,2021-05-02 10:33:00,0
247.0,2021-05-02 10:47:00,0
212.0,2021-05-02 11:04:00,0
191.0,2021-05-02 11:18:00,0
214.0,2021-05-02 11:31:00,0
184.0,2021-05-02 11:48:00,0
158.0,2021-05-02 12:04:00,0
167.18554807397126,2021-05-02 12:25:00,1
170.0,2021-05-02 12:31:00,0
71.02581119507201,2021-05-02 12:53:00,1
67.0,2021-05-02 12:54:00,0
109.02373104869494,2021-05-02 13:15:00,1
117.0,2021-05-02 13:19:00,0
149.0,2021-05-02 13:32:00,0
189.0,2021-05-02 13:49:00,0
114.0,2021-05-02 14:07:00,0
107.0,2021-05-02 14:25:00,0
46.0,2021-05-02 14:33:00,0
30.0,2021-05-02 14:57:00,0
56.0,2021-05-02 15:02:00,0
47.0,2021-05-02 15:18:00,0
37.0,2021-05-02 15:34:00,0
41.0,2021-05-02 15:47:00,0
29.0,2021-05-02 16:05:00,0
24.0,2021-05-02 16:18:00,0
25.0,2021-05-02 16:35:00,0
19.0,2021-05-02 16:46:00,0
17.369063771301192,2021-05-02 17:06:00,1
17.0,2021-05-02 17:11:00,0
15.0,2021-05-02 17:20:00,0
7.000000000000001,2021-05-02 17:31:00,0
9.632337796263865,2021-05-02 17:52:00,1
11.0,2021-05-02 18:03:00,0
4.0,2021-05-02 18:17:00,0
1.041619797705871,2021-05-02 18:38:00,1
0.0,2021-05-02 18:46:00,0
0.0,2021-05-02 20:51:00,1
0.0,2021-05-02 20:51:00,0
0.0,2021-05-02 21:37:00,1
0.0,2021-05-02 21:40:00,0
0.0,2021-05-02 22:07:00,1
0.0,2021-05-02 22:16:00,0
0.0,2021-05-02 23:01:00,1
0.0,2021-05-02 23:02:00,0
0.0,2021-05-02 23:40:00,1
0.0,2021-05-02 23:48:00,0
0.0,2021-05-03 03:41:00,1
0.0,2021-05-03 04:03:00,0
3.0,2021-05-03 04:19:00,0
11.888888889504843,2021-05-03 04:47:00,1
12.0,2021-05-03 04:47:00,0
125.18278778218342,2021-05-03 05:09:00,1
248.0,2021-05-03 05:33:00,0
310.0,2021-05-03 05:47:00,0
242.67498641550117,2021-05-03 06:09:00,1
216.0,2021-05-03 06:18:00,0
170.0,2021-05-03 06:34:00,0
336.8147109994556,2021-05-03 06:56:00,1
533.0,2021-05-03 07:21:00,0
604.0,2021-05-03 07:31:00,0
386.37551021593447,2021-05-03 07:52:00,1
101.0,2021-05-03 08:20:00,0
150.0,2021-05-03 08:34:00,0
420.0929470079012,2021-05-03 08:56:00,1
530.0,2021-05-03 09:05:00,0
344.0,2021-05-03 09:20:00,0
586.4773960895935,2021-05-03 09:40:00,1
784.0,2021-05-03 09:57:00,0
721.0,2021-05-03 10:17:00,0
397.0,2021-05-03 10:33:00,0
734.0,2021-05-03 10:45:00,0
383.0,2021-05-03 11:00:00,0
513.0,2021-05-03 11:15:00,0
434.0,2021-05-03 11:30:00,0
751.0,2021-05-03 11:45:00,0
543.0,2021-05-03 12:00:00,0
437.0,2021-05-03 12:15:00,0
770.0,2021-05-03 12:30:00,0
585.0,2021-05-03 12:46:00,0
726.0,2021-05-03 13:00:00,0
789.7326362923876,2021-05-03 13:21:00,1
792.0,2021-05-03 13:22:00,0
728.0,2021-05-03 13:30:00,0
698.0,2021-05-03 13:45:00,0
681.0,2021-05-03 14:00:00,0
611.0,2021-05-03 14:15:00,0
562.0,2021-05-03 14:30:00,0
518.0,2021-05-03 14:45:00,0
487.0,2021-05-03 15:00:00,0
432.0,2021-05-03 15:15:00,0
387.0,2021-05-03 15:30:00,0
357.0,2021-05-03 15:45:00,0
296.0,2021-05-03 16:01:00,0
87.00000000000003,2021-05-03 16:15:00,0
53.0,2021-05-03 16:30:00,0
61.0,2021-05-03 16:45:00,0
45.0,2021-05-03 17:00:00,0
35.0,2021-05-03 17:15:00,0
34.0,2021-05-03 17:30:00,0
30.0,2021-05-03 17:45:00,0
16.0,2021-05-03 18:04:00,0
5.0,2021-05-03 18:15:00,0
0.0,2021-05-03 18:36:00,0
1.0,2021-05-04 04:36:00,0
4.0,2021-05-04 04:43:00,0
10.0,2021-05-04 05:06:00,0
19.0,2021-05-04 05:24:00,0
33.0,2021-05-04 05:36:00,0
78.0,2021-05-04 05:55:00,0
59.0,2021-05-04 05:58:00,0
157.0,2021-05-04 06:15:00,0
276.0,2021-05-04 06:33:00,0
176.0,2021-05-04 06:49:00,0
190.0,2021-05-04 06:51:00,0
176.0,2021-05-04 06:53:00,0
190.0,2021-05-04 07:01:00,0
491.0,2021-05-04 07:07:00,0
500.0,2021-05-04 07:23:00,0
561.0,2021-05-04 07:30:00,0
500.0,2021-05-04 07:33:00,0
587.0,2021-05-04 07:45:00,0
451.0,2021-05-04 08:00:00,0
174.76151555532107,2021-05-04 08:21:00,1
158.0,2021-05-04 08:22:00,0
153.0,2021-05-04 08:32:00,0
155.0,2021-05-04 08:45:00,0
601.0,2021-05-04 09:00:00,0
491.0,2021-05-04 09:15:00,0
616.0,2021-05-04 09:30:00,0
789.0,2021-05-04 09:45:00,0
605.0,2021-05-04 10:00:00,0
442.0,2021-05-04 10:15:00,0
267.0,2021-05-04 10:30:00,0
352.0,2021-05-04 10:45:00,0
259.0,2021-05-04 11:00:00,0
358.0,2021-05-04 11:14:00,0
436.0,2021-05-04 11:30:00,0
401.0,2021-05-04 11:47:00,0
412.0,2021-05-04 12:00:00,0
604.0,2021-05-04 12:15:00,0
750.0,2021-05-04 12:38:00,0
589.0,2021-05-04 12:45:00,0
361.0,2021-05-04 13:00:00,0
312.0,2021-05-04 13:15:00,0
267.0,2021-05-04 13:30:00,0
590.0,2021-05-04 13:45:00,0
187.0,2021-05-04 14:04:00,0
320.0,2021-05-04 14:20:00,0
204.0,2021-05-04 14:31:00,0
156.0,2021-05-04 14:45:00,0
108.0,2021-05-04 15:03:00,0
224.0,2021-05-04 15:17:00,0
145.0,2021-05-04 15:31:00,0
154.0,2021-05-04 15:45:00,0
110.0,2021-05-04 16:05:00,0
82.0,2021-05-04 16:15:00,0
63.0,2021-05-04 16:30:00,0
74.0,2021-05-04 16:45:00,0
43.0,2021-05-04 17:03:00,0
39.0,2021-05-04 17:18:00,0
22.0,2021-05-04 17:31:00,0
10.0,2021-05-04 17:45:00,0
5.0,2021-05-04 18:00:00,0
1.0,2021-05-04 18:15:00,0
0.0,2021-05-04 18:30:00,0
0.0,2021-05-05 01:26:00,1
0.0,2021-05-05 01:31:00,0
1.0,2021-05-05 04:12:00,0
6.999999999999999,2021-05-05 04:26:00,0
8.0,2021-05-05 04:52:00,0
18.0,2021-05-05 04:54:00,0
30.0,2021-05-05 05:03:00,0
18.0,2021-05-05 05:05:00,0
24.0,2021-05-05 05:17:00,0
36.0,2021-05-05 05:30:00,0
42.20952380755663,2021-05-05 05:51:00,1
43.0,2021-05-05 05:54:00,0
65.0,2021-05-05 06:05:00,0
100.0,2021-05-05 06:23:00,0
92.10243552885501,2021-05-05 06:44:00,1
91.0,2021-05-05 06:47:00,0
99.0,2021-05-05 06:58:00,0
178.0,2021-05-05 07:13:00,0
262.0,2021-05-05 07:37:00,0
183.0,2021-05-05 07:44:00,0
104.0,2021-05-05 08:06:00,0
143.0,2021-05-05 08:21:00,0
229.0,2021-05-05 08:31:00,0
220.0,2021-05-05 08:46:00,0
221.0,2021-05-05 08:56:00,0
423.0,2021-05-05 09:05:00,0
257.0,2021-05-05 09:23:00,0
251.0,2021-05-05 09:30:00,0
107.0,2021-05-05 09:45:00,0
358.0,2021-05-05 10:00:00,0
479.0,2021-05-05 10:17:00,0
225.0,2021-05-05 10:30:00,0
140.0,2021-05-05 10:45:00,0
113.0,2021-05-05 11:02:00,0
88.0,2021-05-05 11:16:00,0
110.0,2021-05-05 11:36:00,0
133.0,2021-05-05 11:55:00,0
123.0,2021-05-05 12:00:00,0
118.0,2021-05-05 12:16:00,0
215.0,2021-05-05 12:30:00,0
167.0,2021-05-05 12:48:00,0
270.0404386734001,2021-05-05 13:10:00,1
283.0,2021-05-05 13:12:00,0
180.0,2021-05-05 13:19:00,0
113.0,2021-05-05 13:30:00,0
117.0,2021-05-05 13:45:00,0
116.0,2021-05-05 14:00:00,0
104.0,2021-05-05 14:15:00,0
81.0,2021-05-05 14:31:00,0
99.0,2021-05-05 14:52:00,0
104.0,2021-05-05 15:02:00,0
62.0,2021-05-05 15:15:00,0
82.0,2021-05-05 15:30:00,0
35.0,2021-05-05 15:46:00,0
14.0,2021-05-05 16:02:00,0
17.0,2021-05-05 16:15:00,0
7.0,2021-05-05 16:30:00,0
4.0,2021-05-05 16:53:00,0
12.0,2021-05-05 17:00:00,0
25.0,2021-05-05 17:15:00,0
72.0,2021-05-05 17:30:00,0
31.0,2021-05-05 17:49:00,0
8.0,2021-05-05 18:00:00,0
4.0,2021-05-05 18:18:00,0
1.0,2021-05-05 18:30:00,0
0.0,2021-05-05 18:46:00,0
0.0,2021-05-05 19:38:00,1
0.0,2021-05-05 19:40:00,0
2.0,2021-05-06 04:00:00,0
9.0,2021-05-06 04:15:00,0
15.0,2021-05-06 04:30:00,0
31.0,2021-05-06 04:45:00,0
70.0,2021-05-06 05:16:00,0
161.0,2021-05-06 05:30:00,0
275.0,2021-05-06 05:44:00,0
237.0,2021-05-06 06:00:00,0
358.0,2021-05-06 06:15:00,0
160.0,2021-05-06 06:34:00,0
185.0,2021-05-06 06:45:00,0
189.0,2021-05-06 07:00:00,0
278.0,2021-05-06 07:15:00,0
334.0,2021-05-06 07:30:00,0
194.0,2021-05-06 07:48:00,0
189.0,2021-05-06 08:00:00,0
178.03445575831918,2021-05-06 08:21:00,1
178.0,2021-05-06 08:21:00,0
185.0,2021-05-06 08:33:00,0
213.0,2021-05-06 08:45:00,0
256.11475410369343,2021-05-06 09:07:00,1
259.0,2021-05-06 09:09:00,0
279.0,2021-05-06 09:37:00,0
447.0,2021-05-06 09:46:00,0
666.0,2021-05-06 10:01:00,0
909.0,2021-05-06 10:08:00,0
784.0,2021-05-06 10:16:00,0
792.0,2021-05-06 10:30:00,0
377.0,2021-05-06 10:51:00,0
213.0,2021-05-06 11:00:00,0
239.0,2021-05-06 11:15:00,0
322.0,2021-05-06 11:30:00,0
260.0,2021-05-06 11:49:00,0
326.0,2021-05-06 12:00:00,0
296.0,2021-05-06 12:20:00,0
184.0,2021-05-06 12:30:00,0
221.0,2021-05-06 12:45:00,0
341.0,2021-05-06 13:03:00,0
194.0,2021-05-06 13:15:00,0
143.0,2021-05-06 13:30:00,0
125.0,2021-05-06 13:45:00,0
146.0,2021-05-06 14:00:00,0
113.0,2021-05-06 14:18:00,0
92.0,2021-05-06 14:45:00,0
61.0,2021-05-06 15:00:00,0
81.0,2021-05-06 15:15:00,0
89.0,2021-05-06 15:30:00,0
94.0,2021-05-06 15:45:00,0
91.0,2021-05-06 16:00:00,0
85.0,2021-05-06 16:26:00,0
81.0,2021-05-06 16:30:00,0
59.0,2021-05-06 16:48:00,0
47.0,2021-05-06 17:01:00,0
36.0,2021-05-06 17:17:00,0
19.0,2021-05-06 17:30:00,0
6.0,2021-05-06 17:45:00,0
3.0,2021-05-06 18:00:00,0
1.0,2021-05-06 18:15:00,0
0.0,2021-05-06 18:30:00,0
1.0,2021-05-07 04:15:00,0
3.0,2021-05-07 04:30:00,0
7.0,2021-05-07 04:48:00,0
11.0,2021-05-07 05:02:00,0
16.0,2021-05-07 05:21:00,0
33.0,2021-05-07 05:30:00,0
47.0,2021-05-07 05:45:00,0
72.0,2021-05-07 06:00:00,0
65.0,2021-05-07 06:15:00,0
68.0,2021-05-07 06:30:00,0
82.0,2021-05-07 06:45:00,0
55.0,2021-05-07 07:00:00,0
37.0,2021-05-07 07:19:00,0
