value,time,diag
430.0,2021-09-23 06:52:00,0
391.0,2021-09-23 07:07:00,0
405.0,2021-09-23 07:22:00,0
406.0,2021-09-23 07:37:00,0
397.0,2021-09-23 07:52:00,0
399.0,2021-09-23 08:07:00,0
400.0,2021-09-23 08:22:00,0
397.0,2021-09-23 08:37:00,0
337.0,2021-09-23 08:52:00,0
306.0,2021-09-23 09:07:00,0
312.0,2021-09-23 09:22:00,0
348.0,2021-09-23 09:37:00,0
345.0,2021-09-23 09:52:00,0
269.0,2021-09-23 10:07:00,0
361.0,2021-09-23 10:22:00,0
246.0,2021-09-23 10:37:00,0
197.0,2021-09-23 10:52:00,0
530.0,2021-09-23 11:07:00,0
497.0,2021-09-23 11:22:00,0
423.0,2021-09-23 11:37:00,0
393.0,2021-09-23 11:52:00,0
399.0,2021-09-23 12:07:00,0
397.0,2021-09-23 12:22:00,0
383.0,2021-09-23 12:37:00,0
375.0,2021-09-23 12:52:00,0
409.0,2021-09-23 13:07:00,0
383.0,2021-09-23 13:22:00,0
397.0,2021-09-23 13:37:00,0
357.0,2021-09-23 13:52:00,0
400.0,2021-09-23 14:07:00,0
381.0,2021-09-23 14:22:00,0
507.0,2021-09-23 14:37:00,0
489.0,2021-09-23 15:07:00,0
566.0,2021-09-23 15:22:00,0
544.0,2021-09-23 15:37:00,0
512.0,2021-09-23 15:52:00,0
473.0,2021-09-23 16:07:00,0
401.0,2021-09-23 16:22:00,0
400.0,2021-09-23 16:37:00,0
300.0,2021-09-24 00:07:00,0
400.0,2021-09-24 00:22:00,0
412.0,2021-09-24 06:52:00,0
400.0,2021-09-24 07:07:00,0
405.0,2021-09-24 07:22:00,0
398.0,2021-09-24 07:37:00,0
391.0,2021-09-24 07:52:00,0
396.0,2021-09-24 08:07:00,0
364.0,2021-09-24 08:22:00,0
320.0,2021-09-24 08:37:00,0
375.0,2021-09-24 08:52:00,0
274.0,2021-09-24 09:07:00,0
368.0,2021-09-24 09:22:00,0
332.0,2021-09-24 09:37:00,0
593.0,2021-09-24 09:52:00,0
401.0172951692774,2021-09-24 10:31:00,1
300.0,2021-09-24 10:51:00,0
295.0,2021-09-24 10:52:00,0
218.0,2021-09-24 11:07:00,0
424.0,2021-09-24 11:22:00,0
454.0,2021-09-24 11:37:00,0
425.0,2021-09-24 11:52:00,0
415.0,2021-09-24 12:07:00,0
409.0,2021-09-24 12:22:00,0
423.0,2021-09-24 12:37:00,0
399.0,2021-09-24 12:52:00,0
423.0,2021-09-24 13:07:00,0
374.0,2021-09-24 13:22:00,0
381.0,2021-09-24 13:37:00,0
472.0,2021-09-24 14:07:00,0
416.0,2021-09-24 14:22:00,0
512.0,2021-09-24 14:37:00,0
509.0,2021-09-24 14:52:00,0
510.0,2021-09-24 15:07:00,0
514.0,2021-09-24 15:22:00,0
500.0,2021-09-24 15:37:00,0
416.0,2021-09-24 15:52:00,0
401.0,2021-09-24 16:07:00,0
400.0,2021-09-24 16:22:00,0
403.0,2021-09-25 06:52:00,0
351.0,2021-09-25 07:07:00,0
415.0,2021-09-25 07:22:00,0
407.0,2021-09-25 07:37:00,0
391.0,2021-09-25 07:52:00,0
378.0,2021-09-25 08:07:00,0
379.0,2021-09-25 08:22:00,0
336.0,2021-09-25 08:52:00,0
268.0,2021-09-25 09:07:00,0
272.0,2021-09-25 09:22:00,0
292.0,2021-09-25 09:37:00,0
269.0,2021-09-25 09:52:00,0
260.0,2021-09-25 10:07:00,0
182.0,2021-09-25 10:22:00,0
242.0,2021-09-25 10:37:00,0
191.0,2021-09-25 10:52:00,0
263.0,2021-09-25 11:07:00,0
527.0,2021-09-25 11:22:00,0
432.0,2021-09-25 11:37:00,0
434.0,2021-09-25 11:52:00,0
428.0,2021-09-25 12:07:00,0
414.0,2021-09-25 12:22:00,0
403.0,2021-09-25 12:37:00,0
438.0,2021-09-25 12:52:00,0
408.0,2021-09-25 13:07:00,0
383.0,2021-09-25 13:22:00,0
376.0,2021-09-25 13:37:00,0
388.0,2021-09-25 13:52:00,0
392.0,2021-09-25 14:07:00,0
491.0,2021-09-25 14:22:00,0
475.0,2021-09-25 14:37:00,0
479.0,2021-09-25 14:52:00,0
515.0,2021-09-25 15:07:00,0
481.0,2021-09-25 15:22:00,0
550.0,2021-09-25 15:37:00,0
488.0,2021-09-25 15:52:00,0
575.0,2021-09-25 16:07:00,0
516.0,2021-09-25 16:22:00,0
400.0,2021-09-25 16:37:00,0
401.0,2021-09-26 05:52:00,0
406.0,2021-09-26 06:07:00,0
472.0,2021-09-26 06:22:00,0
397.0,2021-09-26 06:37:00,0
434.0,2021-09-26 06:52:00,0
455.0,2021-09-26 07:07:00,0
365.0,2021-09-26 07:22:00,0
494.0,2021-09-26 07:37:00,0
507.0,2021-09-26 07:52:00,0
387.0,2021-09-26 08:07:00,0
327.0,2021-09-26 08:22:00,0
342.0,2021-09-26 08:37:00,0
401.0,2021-09-26 08:52:00,0
451.0,2021-09-26 09:07:00,0
400.0,2021-09-26 09:22:00,0
401.0,2021-09-26 09:52:00,0
400.0,2021-09-26 10:07:00,0
420.0,2021-09-26 10:22:00,0
426.0,2021-09-26 10:37:00,0
459.0,2021-09-26 10:52:00,0
477.0,2021-09-26 11:07:00,0
463.0,2021-09-26 11:22:00,0
460.0,2021-09-26 11:37:00,0
461.0,2021-09-26 11:52:00,0
464.0,2021-09-26 12:07:00,0
506.0,2021-09-26 12:22:00,0
433.0,2021-09-26 12:37:00,0
490.0,2021-09-26 12:52:00,0
454.0,2021-09-26 13:07:00,0
428.0,2021-09-26 13:22:00,0
426.0,2021-09-26 13:37:00,0
431.0,2021-09-26 13:52:00,0
379.0,2021-09-26 14:07:00,0
381.0,2021-09-26 14:22:00,0
446.0,2021-09-26 14:37:00,0
400.0,2021-09-26 14:52:00,0
500.0,2021-09-27 05:41:00,0
400.0,2021-09-27 05:52:00,0
401.0,2021-09-27 06:52:00,0
439.0,2021-09-27 07:07:00,0
379.0,2021-09-27 07:22:00,0
386.0,2021-09-27 07:37:00,0
399.0,2021-09-27 07:52:00,0
402.0,2021-09-27 08:07:00,0
396.0,2021-09-27 08:22:00,0
404.0,2021-09-27 08:37:00,0
416.0,2021-09-27 08:52:00,0
301.0,2021-09-27 09:07:00,0
358.0,2021-09-27 09:22:00,0
317.0,2021-09-27 09:37:00,0
258.0,2021-09-27 09:52:00,0
226.0,2021-09-27 10:07:00,0
225.0,2021-09-27 10:22:00,0
205.0,2021-09-27 10:37:00,0
233.0,2021-09-27 10:52:00,0
239.0,2021-09-27 11:07:00,0
204.0,2021-09-27 11:22:00,0
155.0,2021-09-27 11:37:00,0
319.0,2021-09-27 11:52:00,0
772.0,2021-09-27 12:07:00,0
519.0,2021-09-27 12:22:00,0
482.0,2021-09-27 12:37:00,0
453.0,2021-09-27 12:52:00,0
457.0,2021-09-27 13:07:00,0
416.0,2021-09-27 13:22:00,0
436.0,2021-09-27 13:37:00,0
397.0,2021-09-27 13:52:00,0
379.0,2021-09-27 14:07:00,0
442.0,2021-09-27 14:22:00,0
411.0,2021-09-27 14:37:00,0
395.0,2021-09-27 14:52:00,0
431.0,2021-09-27 15:07:00,0
476.0,2021-09-27 15:22:00,0
477.0,2021-09-27 15:37:00,0
479.0,2021-09-27 15:52:00,0
551.0,2021-09-27 16:07:00,0
538.0,2021-09-27 16:22:00,0
420.0,2021-09-27 16:37:00,0
400.0,2021-09-27 16:52:00,0
300.0,2021-09-27 20:52:00,0
400.0,2021-09-27 21:07:00,0
495.0,2021-09-28 07:07:00,0
360.0,2021-09-28 07:22:00,0
398.0,2021-09-28 07:37:00,0
401.0,2021-09-28 07:52:00,0
388.0,2021-09-28 08:07:00,0
319.0,2021-09-28 08:22:00,0
332.0,2021-09-28 08:37:00,0
321.0,2021-09-28 08:52:00,0
339.0,2021-09-28 09:07:00,0
320.0,2021-09-28 09:22:00,0
258.0,2021-09-28 09:37:00,0
219.0,2021-09-28 09:52:00,0
232.0,2021-09-28 10:07:00,0
271.0,2021-09-28 10:22:00,0
255.0,2021-09-28 10:37:00,0
246.0,2021-09-28 10:52:00,0
434.0,2021-09-28 11:07:00,0
475.0,2021-09-28 11:22:00,0
444.0,2021-09-28 11:37:00,0
434.0,2021-09-28 11:52:00,0
410.0,2021-09-28 12:07:00,0
404.0,2021-09-28 12:22:00,0
364.0,2021-09-28 12:37:00,0
436.0,2021-09-28 12:52:00,0
378.0,2021-09-28 13:07:00,0
448.0,2021-09-28 13:22:00,0
491.0,2021-09-28 13:37:00,0
375.0,2021-09-28 13:52:00,0
377.0,2021-09-28 14:07:00,0
398.0,2021-09-28 14:22:00,0
448.0,2021-09-28 14:37:00,0
449.0,2021-09-28 14:52:00,0
514.0,2021-09-28 15:07:00,0
478.0,2021-09-28 15:22:00,0
433.0,2021-09-28 15:37:00,0
502.0,2021-09-28 15:52:00,0
418.0,2021-09-28 16:07:00,0
400.0,2021-09-28 16:22:00,0
422.0,2021-09-29 06:22:00,0
418.0,2021-09-29 06:37:00,0
437.0,2021-09-29 06:52:00,0
515.0,2021-09-29 07:07:00,0
487.0,2021-09-29 07:22:00,0
399.0,2021-09-29 07:37:00,0
439.0,2021-09-29 07:52:00,0
470.0,2021-09-29 08:07:00,0
456.0,2021-09-29 08:22:00,0
496.0,2021-09-29 08:37:00,0
456.0,2021-09-29 08:52:00,0
430.0,2021-09-29 09:07:00,0
339.0,2021-09-29 09:22:00,0
578.0,2021-09-29 09:37:00,0
441.0,2021-09-29 09:52:00,0
373.0,2021-09-29 10:07:00,0
138.0,2021-09-29 10:22:00,0
356.0,2021-09-29 10:37:00,0
462.0,2021-09-29 10:52:00,0
326.0,2021-09-29 11:07:00,0
507.0,2021-09-29 11:22:00,0
847.0,2021-09-29 11:37:00,0
461.0,2021-09-29 11:52:00,0
408.0,2021-09-29 12:07:00,0
425.0,2021-09-29 12:22:00,0
381.0,2021-09-29 12:37:00,0
376.0,2021-09-29 12:52:00,0
398.0,2021-09-29 13:07:00,0
439.0,2021-09-29 13:22:00,0
447.4486666654189,2021-09-29 13:44:00,1
468.0,2021-09-29 14:37:00,0
488.0,2021-09-29 14:52:00,0
438.0,2021-09-29 15:07:00,0
502.0,2021-09-29 15:22:00,0
504.0,2021-09-29 15:37:00,0
506.0,2021-09-29 15:52:00,0
