value,time,diag
135.0,2021-09-23 09:52:00,0
136.0,2021-09-23 10:37:00,0
138.0,2021-09-23 10:52:00,0
140.0,2021-09-23 11:07:00,0
139.0,2021-09-23 11:22:00,0
138.0,2021-09-23 14:37:00,0
137.0,2021-09-23 15:07:00,0
136.0,2021-09-23 15:52:00,0
135.0,2021-09-23 17:22:00,0
134.0,2021-09-23 20:37:00,0
135.0,2021-09-23 20:52:00,0
134.0,2021-09-23 21:07:00,0
133.0,2021-09-24 04:22:00,0
134.0,2021-09-24 04:37:00,0
133.0,2021-09-24 05:37:00,0
134.0,2021-09-24 05:38:00,0
133.0,2021-09-24 05:52:00,0
134.0,2021-09-24 06:52:00,0
135.0,2021-09-24 09:52:00,0
136.96569322352275,2021-09-24 10:31:00,1
138.0,2021-09-24 10:51:00,0
137.0,2021-09-24 10:52:00,0
139.0,2021-09-24 11:07:00,0
138.0,2021-09-24 14:37:00,0
137.0,2021-09-24 15:07:00,0
136.0,2021-09-24 15:52:00,0
135.0,2021-09-24 17:07:00,0
134.0,2021-09-24 20:07:00,0
135.0,2021-09-24 20:22:00,0
134.0,2021-09-24 20:52:00,0
133.0,2021-09-25 02:22:00,0
134.0,2021-09-25 02:52:00,0
133.0,2021-09-25 03:37:00,0
134.0,2021-09-25 03:52:00,0
133.0,2021-09-25 04:07:00,0
134.0,2021-09-25 04:22:00,0
135.0,2021-09-25 09:52:00,0
136.0,2021-09-25 10:22:00,0
137.0,2021-09-25 10:52:00,0
139.0,2021-09-25 11:07:00,0
138.0,2021-09-25 15:07:00,0
137.0,2021-09-25 15:37:00,0
136.0,2021-09-25 16:22:00,0
137.0,2021-09-25 16:45:00,0
136.0,2021-09-25 16:52:00,0
135.0,2021-09-25 18:07:00,0
134.0,2021-09-25 20:07:00,0
135.0,2021-09-25 20:22:00,0
134.0,2021-09-25 20:37:00,0
135.0,2021-09-25 20:52:00,0
134.0,2021-09-25 21:22:00,0
133.0,2021-09-26 03:22:00,0
134.0,2021-09-26 03:37:00,0
136.0,2021-09-26 05:27:00,0
134.0,2021-09-26 05:37:00,0
135.0,2021-09-26 13:07:00,0
134.0,2021-09-26 13:22:00,0
135.0,2021-09-26 15:20:00,0
134.0,2021-09-26 15:22:00,0
133.0,2021-09-26 19:07:00,0
134.0,2021-09-26 19:22:00,0
133.0,2021-09-26 19:52:00,0
134.0,2021-09-26 20:07:00,0
133.0,2021-09-26 21:37:00,0
134.0,2021-09-26 21:52:00,0
133.0,2021-09-26 23:22:00,0
134.0,2021-09-26 23:37:00,0
133.0,2021-09-26 23:52:00,0
134.0,2021-09-27 00:07:00,0
133.0,2021-09-27 03:07:00,0
134.0,2021-09-27 04:22:00,0
133.0,2021-09-27 04:37:00,0
134.0,2021-09-27 05:22:00,0
133.0,2021-09-27 06:22:00,0
134.0,2021-09-27 06:37:00,0
133.0,2021-09-27 06:52:00,0
134.0,2021-09-27 07:22:00,0
135.0,2021-09-27 09:52:00,0
136.0,2021-09-27 10:22:00,0
137.0,2021-09-27 11:22:00,0
138.0,2021-09-27 11:52:00,0
139.0,2021-09-27 12:07:00,0
138.0,2021-09-27 15:52:00,0
137.0,2021-09-27 16:07:00,0
136.0,2021-09-27 16:52:00,0
134.0,2021-09-27 16:53:00,0
136.0,2021-09-27 17:07:00,0
135.0,2021-09-27 18:37:00,0
134.0,2021-09-27 20:52:00,0
135.0,2021-09-27 21:07:00,0
134.0,2021-09-27 21:22:00,0
135.0,2021-09-27 21:52:00,0
134.0,2021-09-27 22:07:00,0
135.0,2021-09-28 09:37:00,0
136.0,2021-09-28 10:22:00,0
138.0,2021-09-28 10:52:00,0
139.0,2021-09-28 11:07:00,0
138.0,2021-09-28 15:07:00,0
137.0,2021-09-28 15:37:00,0
136.0,2021-09-28 16:37:00,0
137.0,2021-09-28 16:43:00,0
136.0,2021-09-28 16:52:00,0
135.0,2021-09-28 17:22:00,0
136.0,2021-09-28 17:52:00,0
135.0,2021-09-28 18:07:00,0
134.0,2021-09-28 20:22:00,0
133.0,2021-09-29 02:22:00,0
134.0,2021-09-29 02:37:00,0
133.0,2021-09-29 04:52:00,0
134.0,2021-09-29 05:07:00,0
133.0,2021-09-29 05:37:00,0
134.0,2021-09-29 05:52:00,0
135.0,2021-09-29 10:22:00,0
136.0,2021-09-29 10:37:00,0
137.0,2021-09-29 10:52:00,0
136.0,2021-09-29 11:07:00,0
137.0,2021-09-29 11:22:00,0
139.0,2021-09-29 11:37:00,0
139.0,2021-09-29 13:44:00,1
139.0,2021-09-29 14:37:00,0
138.0,2021-09-29 15:22:00,0
137.0,2021-09-29 15:52:00,0
136.0,2021-09-29 16:37:00,0
137.0,2021-09-29 16:52:00,0
136.0,2021-09-29 16:52:00,0
135.0,2021-09-29 17:52:00,0
136.0,2021-09-29 18:07:00,0
135.0,2021-09-29 18:28:00,0
134.0,2021-09-29 19:52:00,0
135.0,2021-09-29 20:07:00,0
134.0,2021-09-29 20:52:00,0
135.0,2021-09-29 21:07:00,0
134.0,2021-09-29 21:37:00,0
133.0,2021-09-30 03:09:00,0
134.0,2021-09-30 03:23:00,0
134.0,2021-09-30 03:57:00,1
134.0,2021-09-30 04:05:00,0
134.0,2021-09-30 04:26:00,1
134.0,2021-09-30 04:34:00,0
134.0,2021-09-30 05:40:00,1
134.0,2021-09-30 05:52:00,0
133.0,2021-09-30 06:00:00,0
134.0,2021-09-30 06:06:00,0
134.0,2021-09-30 07:36:00,1
134.0,2021-09-30 07:53:00,0
134.0,2021-09-30 09:17:00,1
134.0,2021-09-30 09:29:00,0
135.0,2021-09-30 09:48:00,0
136.0,2021-09-30 10:23:00,0
136.82550335542155,2021-09-30 10:43:00,1
137.0,2021-09-30 10:48:00,0
138.0,2021-09-30 10:57:00,0
138.70792365536295,2021-09-30 11:17:00,1
139.0,2021-09-30 11:26:00,0
139.0,2021-09-30 12:04:00,1
139.0,2021-09-30 12:04:00,0
138.0,2021-09-30 14:37:00,0
137.08437686348748,2021-09-30 15:28:00,1
137.0,2021-09-30 15:33:00,0
137.0,2021-09-30 16:13:00,1
137.0,2021-09-30 16:24:00,0
136.29646017706807,2021-09-30 16:45:00,1
136.0,2021-09-30 16:54:00,0
136.0,2021-09-30 17:15:00,1
136.0,2021-09-30 18:37:00,0
135.0,2021-09-30 18:52:00,0
135.0,2021-09-30 19:13:00,1
135.0,2021-09-30 19:45:00,0
134.95714678774323,2021-09-30 20:06:00,1
134.0,2021-10-01 03:49:00,0
134.25456498387115,2021-10-01 04:24:00,1
137.0,2021-10-01 10:33:00,0
136.0,2021-10-01 10:39:00,0
136.7461459402976,2021-10-01 11:15:00,1
137.0,2021-10-01 11:28:00,0
137.55049338637906,2021-10-01 11:50:00,1
139.0,2021-10-01 12:47:00,0
140.0,2021-10-01 12:52:00,0
139.0,2021-10-01 13:03:00,0
139.3245521601592,2021-10-01 13:24:00,1
140.0,2021-10-01 14:07:00,0
139.0,2021-10-01 14:17:00,0
140.0,2021-10-01 14:18:00,0
139.0,2021-10-01 14:18:00,0
140.0,2021-10-01 14:19:00,0
139.0,2021-10-01 14:26:00,0
140.0,2021-10-01 14:43:00,0
139.0,2021-10-01 14:50:00,0
139.0,2021-10-01 15:11:00,1
139.0,2021-10-01 15:24:00,0
137.0,2021-10-01 15:54:00,0
136.33343310388443,2021-10-01 16:31:00,1
136.0,2021-10-01 16:50:00,0
137.0,2021-10-01 16:59:00,0
136.54145968675581,2021-10-01 17:19:00,1
136.0,2021-10-01 17:43:00,0
135.96546029611943,2021-10-01 18:03:00,1
134.0,2021-10-02 13:34:00,0
133.0,2021-10-02 13:38:00,0
134.0,2021-10-02 13:47:00,0
133.0,2021-10-02 14:34:00,0
134.0,2021-10-02 14:43:00,0
134.0,2021-10-02 15:05:00,1
134.0,2021-10-02 17:38:00,1
134.0,2021-10-04 09:22:00,0
135.0,2021-10-04 09:52:00,0
134.0,2021-10-04 10:52:00,0
135.0,2021-10-04 14:41:00,0
134.0,2021-10-04 14:52:00,0
133.0,2021-10-04 15:22:00,0
136.0,2021-10-04 15:36:00,0
134.0,2021-10-04 15:37:00,0
133.0,2021-10-04 15:52:00,0
134.0,2021-10-04 16:22:00,0
133.0,2021-10-04 17:22:00,0
134.0,2021-10-04 17:37:00,0
133.0,2021-10-04 18:22:00,0
134.0,2021-10-04 18:52:00,0
133.0,2021-10-04 19:22:00,0
134.0,2021-10-04 19:37:00,0
133.0,2021-10-04 20:52:00,0
134.0,2021-10-04 21:22:00,0
133.0,2021-10-04 21:37:00,0
134.0,2021-10-04 22:07:00,0
133.0,2021-10-04 22:22:00,0
134.0,2021-10-04 23:37:00,0
133.0,2021-10-05 01:22:00,0
134.0,2021-10-05 01:37:00,0
133.0,2021-10-05 02:22:00,0
134.0,2021-10-05 02:37:00,0
133.0,2021-10-05 03:22:00,0
134.0,2021-10-05 03:37:00,0
133.0,2021-10-05 03:52:00,0
134.0,2021-10-05 04:07:00,0
133.0,2021-10-05 06:07:00,0
131.0,2021-10-05 06:08:00,0
135.0,2021-10-05 06:09:00,0
134.0,2021-10-05 06:15:00,0
133.0,2021-10-05 06:22:00,0
134.0,2021-10-05 06:38:00,0
133.0,2021-10-05 07:07:00,0
134.0,2021-10-05 07:22:00,0
133.0,2021-10-05 15:37:00,0
134.0,2021-10-05 15:52:00,0
133.0,2021-10-05 16:07:00,0
134.0,2021-10-05 16:37:00,0
133.0,2021-10-05 17:22:00,0
134.0,2021-10-05 17:37:00,0
133.0,2021-10-05 17:52:00,0
134.0,2021-10-05 18:37:00,0
133.0,2021-10-05 18:52:00,0
134.0,2021-10-05 19:07:00,0
133.0,2021-10-05 20:07:00,0
134.0,2021-10-05 20:37:00,0
133.0,2021-10-05 21:07:00,0
134.0,2021-10-05 21:22:00,0
133.0,2021-10-05 22:07:00,0
134.0,2021-10-05 22:22:00,0
133.0,2021-10-05 22:37:00,0
134.0,2021-10-05 23:07:00,0
133.0,2021-10-05 23:22:00,0
134.0,2021-10-05 23:52:00,0
133.0,2021-10-06 00:07:00,0
134.0,2021-10-06 01:07:00,0
133.0,2021-10-06 01:22:00,0
