value,time,diag
0.0,2021-09-23 05:27:00,0
1.0,2021-09-23 08:37:00,0
2.0,2021-09-23 09:37:00,0
3.0,2021-09-23 10:07:00,0
4.0,2021-09-23 10:22:00,0
5.0,2021-09-23 10:37:00,0
6.0,2021-09-23 10:52:00,0
7.0,2021-09-23 11:07:00,0
8.0,2021-09-23 12:22:00,0
9.0,2021-09-23 14:07:00,0
0.0,2021-09-24 05:40:00,0
1.0,2021-09-24 08:37:00,0
2.0,2021-09-24 09:37:00,0
4.900542495392866,2021-09-24 10:31:00,1
6.0,2021-09-24 10:51:00,0
7.0,2021-09-24 10:52:00,0
8.0,2021-09-24 11:37:00,0
9.0,2021-09-24 13:07:00,0
10.0,2021-09-24 15:37:00,0
0.0,2021-09-25 05:39:00,0
1.0,2021-09-25 08:37:00,0
2.0,2021-09-25 09:37:00,0
3.0,2021-09-25 10:07:00,0
4.0,2021-09-25 10:22:00,0
5.0,2021-09-25 10:37:00,0
6.0,2021-09-25 10:52:00,0
7.0,2021-09-25 11:07:00,0
8.0,2021-09-25 11:52:00,0
9.0,2021-09-25 13:37:00,0
10.0,2021-09-25 15:22:00,0
0.0,2021-09-26 05:37:00,0
1.0,2021-09-26 08:22:00,0
2.0,2021-09-26 12:07:00,0
3.0,2021-09-26 12:37:00,0
4.0,2021-09-26 13:07:00,0
0.0,2021-09-26 15:52:00,0
1.0,2021-09-27 08:52:00,0
2.0,2021-09-27 09:37:00,0
3.0,2021-09-27 09:52:00,0
4.0,2021-09-27 10:22:00,0
5.0,2021-09-27 10:37:00,0
7.0,2021-09-27 10:52:00,0
8.0,2021-09-27 11:07:00,0
10.0,2021-09-27 11:22:00,0
11.0,2021-09-27 11:37:00,0
12.0,2021-09-27 11:52:00,0
13.0,2021-09-27 12:22:00,0
14.0,2021-09-27 14:07:00,0
15.0,2021-09-27 15:37:00,0
0.0,2021-09-28 06:07:00,0
1.0,2021-09-28 08:52:00,0
2.0,2021-09-28 09:37:00,0
3.0,2021-09-28 10:07:00,0
4.0,2021-09-28 10:22:00,0
5.0,2021-09-28 10:37:00,0
6.0,2021-09-28 10:52:00,0
7.0,2021-09-28 11:07:00,0
8.0,2021-09-28 12:37:00,0
9.0,2021-09-28 14:07:00,0
0.0,2021-09-29 06:07:00,0
1.0,2021-09-29 09:07:00,0
2.0,2021-09-29 10:07:00,0
3.0,2021-09-29 10:22:00,0
4.0,2021-09-29 10:37:00,0
6.0,2021-09-29 10:52:00,0
7.0,2021-09-29 11:22:00,0
8.0,2021-09-29 11:37:00,0
9.0,2021-09-29 12:52:00,0
9.493889858770931,2021-09-29 13:44:00,1
10.0,2021-09-29 14:37:00,0
10.0,2021-09-30 03:57:00,1
10.0,2021-09-30 04:05:00,0
10.0,2021-09-30 04:26:00,1
10.0,2021-09-30 04:34:00,0
10.0,2021-09-30 05:40:00,1
10.0,2021-09-30 05:52:00,0
0.0,2021-09-30 06:00:00,0
10.0,2021-09-30 06:06:00,0
0.0,2021-09-30 06:10:00,0
0.0,2021-09-30 07:36:00,1
0.0,2021-09-30 07:53:00,0
1.0,2021-09-30 08:56:00,0
1.0,2021-09-30 09:17:00,1
1.0,2021-09-30 09:29:00,0
2.0,2021-09-30 09:48:00,0
3.0,2021-09-30 09:59:00,0
4.0,2021-09-30 10:23:00,0
5.651006710843077,2021-09-30 10:43:00,1
6.0,2021-09-30 10:48:00,0
7.0,2021-09-30 10:57:00,0
7.0,2021-09-30 11:17:00,1
7.0,2021-09-30 11:26:00,0
7.0,2021-09-30 12:04:00,1
7.0,2021-09-30 12:04:00,0
8.0,2021-09-30 12:09:00,0
9.0,2021-09-30 13:44:00,0
9.0,2021-09-30 15:28:00,1
9.0,2021-09-30 15:33:00,0
10.0,2021-09-30 15:38:00,0
10.0,2021-09-30 16:13:00,1
10.0,2021-09-30 16:24:00,0
10.0,2021-09-30 16:45:00,1
10.0,2021-09-30 16:54:00,0
10.0,2021-09-30 17:15:00,1
10.0,2021-09-30 18:37:00,0
10.0,2021-09-30 19:13:00,1
10.0,2021-09-30 19:45:00,0
10.0,2021-09-30 20:06:00,1
10.0,2021-10-01 03:49:00,0
9.660580021505151,2021-10-01 04:24:00,1
6.0,2021-10-01 10:33:00,0
8.0,2021-10-01 10:54:00,0
8.634975369387345,2021-10-01 11:15:00,1
9.0,2021-10-01 11:28:00,0
9.275246693189528,2021-10-01 11:50:00,1
10.0,2021-10-01 12:47:00,0
11.0,2021-10-01 13:03:00,0
11.0,2021-10-01 13:24:00,1
11.0,2021-10-01 14:07:00,0
12.0,2021-10-01 14:40:00,0
12.0,2021-10-01 15:11:00,1
12.0,2021-10-01 15:24:00,0
14.0,2021-10-01 15:54:00,0
14.0,2021-10-01 16:31:00,1
14.0,2021-10-01 16:50:00,0
14.0,2021-10-01 17:19:00,1
14.0,2021-10-01 17:43:00,0
14.0,2021-10-01 18:03:00,1
14.0,2021-10-02 13:34:00,0
0.0,2021-10-02 13:59:00,0
0.02541976865356628,2021-10-02 15:05:00,1
0.9999999999999999,2021-10-04 09:22:00,0
2.0,2021-10-04 09:52:00,0
3.0,2021-10-04 10:15:00,0
4.0,2021-10-04 10:22:00,0
5.0,2021-10-04 11:52:00,0
0.0,2021-10-04 14:52:00,0
1.0,2021-10-05 09:37:00,0
2.0,2021-10-05 10:37:00,0
3.0,2021-10-05 11:52:00,0
0.0,2021-10-06 07:15:00,0
0.9999999999999999,2021-10-06 10:37:00,0
2.0,2021-10-06 11:52:00,0
3.0,2021-10-06 12:07:00,0
4.0,2021-10-06 12:22:00,0
6.0,2021-10-06 12:37:00,0
7.0,2021-10-06 12:52:00,0
8.0,2021-10-06 13:22:00,0
9.0,2021-10-06 13:37:00,0
10.0,2021-10-06 15:22:00,0
0.0,2021-10-07 05:52:00,0
0.9999999999999999,2021-10-07 08:37:00,0
2.0,2021-10-07 09:22:00,0
3.0,2021-10-07 09:52:00,0
4.0,2021-10-07 10:07:00,0
5.0,2021-10-07 10:37:00,0
7.0,2021-10-07 11:07:00,0
8.0,2021-10-07 11:22:00,0
9.0,2021-10-07 11:37:00,0
11.0,2021-10-07 12:07:00,0
12.0,2021-10-07 12:22:00,0
