value,time,diag
3348.0,2021-09-23 00:07:00,0
3347.0,2021-09-23 00:37:00,0
3346.0,2021-09-23 00:52:00,0
3345.0,2021-09-23 01:07:00,0
3344.0,2021-09-23 01:37:00,0
3343.0,2021-09-23 02:07:00,0
3342.0,2021-09-23 02:37:00,0
3341.0,2021-09-23 03:22:00,0
3340.0,2021-09-23 04:22:00,0
3339.0,2021-09-23 05:26:00,0
3338.0,2021-09-23 06:52:00,0
3339.0,2021-09-23 07:07:00,0
3340.0,2021-09-23 07:22:00,0
3341.0,2021-09-23 07:52:00,0
3342.0,2021-09-23 08:22:00,0
3343.0,2021-09-23 08:52:00,0
3344.0,2021-09-23 09:07:00,0
3347.0,2021-09-23 09:22:00,0
3351.0,2021-09-23 09:37:00,0
3357.0,2021-09-23 09:52:00,0
3362.0,2021-09-23 10:07:00,0
3368.0,2021-09-23 10:22:00,0
3384.0,2021-09-23 10:37:00,0
3417.0,2021-09-23 10:52:00,0
3488.0,2021-09-23 11:07:00,0
3491.0,2021-09-23 11:22:00,0
3489.0,2021-09-23 14:22:00,0
3467.0,2021-09-23 14:37:00,0
3451.0,2021-09-23 14:52:00,0
3441.0,2021-09-23 15:07:00,0
3430.0,2021-09-23 15:22:00,0
3420.0,2021-09-23 15:37:00,0
3412.0,2021-09-23 15:52:00,0
3405.0,2021-09-23 16:07:00,0
3400.0,2021-09-23 16:22:00,0
3394.0,2021-09-23 16:37:00,0
3391.0,2021-09-23 16:52:00,0
3389.0,2021-09-23 16:52:00,0
3387.0,2021-09-23 17:07:00,0
3384.0,2021-09-23 17:22:00,0
3381.0,2021-09-23 17:37:00,0
3379.0,2021-09-23 17:52:00,0
3376.0,2021-09-23 18:07:00,0
3374.0,2021-09-23 18:22:00,0
3371.0,2021-09-23 18:37:00,0
3369.0,2021-09-23 18:52:00,0
3367.0,2021-09-23 19:07:00,0
3366.0,2021-09-23 19:22:00,0
3364.0,2021-09-23 19:37:00,0
3362.0,2021-09-23 19:52:00,0
3361.0,2021-09-23 20:07:00,0
3359.0,2021-09-23 20:22:00,0
3358.0,2021-09-23 20:37:00,0
3356.0,2021-09-23 20:52:00,0
3355.0,2021-09-23 21:07:00,0
3354.0,2021-09-23 21:22:00,0
3353.0,2021-09-23 21:37:00,0
3352.0,2021-09-23 21:52:00,0
3351.0,2021-09-23 22:07:00,0
3350.0,2021-09-23 22:22:00,0
3349.0,2021-09-23 22:37:00,0
3348.0,2021-09-23 22:52:00,0
3347.0,2021-09-23 23:07:00,0
3346.0,2021-09-23 23:37:00,0
3345.0,2021-09-23 23:52:00,0
3344.0,2021-09-24 00:22:00,0
3343.0,2021-09-24 00:52:00,0
3342.0,2021-09-24 01:22:00,0
3341.0,2021-09-24 01:52:00,0
3340.0,2021-09-24 02:52:00,0
3339.0,2021-09-24 04:22:00,0
3338.0,2021-09-24 06:07:00,0
3339.0,2021-09-24 07:07:00,0
3340.0,2021-09-24 07:37:00,0
3341.0,2021-09-24 08:07:00,0
3342.0,2021-09-24 08:52:00,0
3343.0,2021-09-24 09:07:00,0
3345.0,2021-09-24 09:22:00,0
3349.0,2021-09-24 09:37:00,0
3353.0,2021-09-24 09:52:00,0
3400.831868439054,2021-09-24 10:31:00,1
3426.0,2021-09-24 10:51:00,0
3406.0,2021-09-24 10:52:00,0
3472.0,2021-09-24 11:07:00,0
3492.0,2021-09-24 11:22:00,0
3491.0,2021-09-24 11:37:00,0
3492.0,2021-09-24 12:37:00,0
3491.0,2021-09-24 12:52:00,0
3492.0,2021-09-24 13:07:00,0
3491.0,2021-09-24 13:22:00,0
3492.0,2021-09-24 13:37:00,0
3491.0,2021-09-24 14:07:00,0
3490.0,2021-09-24 14:22:00,0
3467.0,2021-09-24 14:37:00,0
3451.0,2021-09-24 14:52:00,0
3437.0,2021-09-24 15:07:00,0
3425.0,2021-09-24 15:22:00,0
3418.0,2021-09-24 15:37:00,0
3409.0,2021-09-24 15:52:00,0
3404.0,2021-09-24 16:07:00,0
3399.0,2021-09-24 16:22:00,0
3394.0,2021-09-24 16:37:00,0
3390.0,2021-09-24 16:49:00,0
3391.0,2021-09-24 16:52:00,0
3387.0,2021-09-24 17:07:00,0
3384.0,2021-09-24 17:22:00,0
3381.0,2021-09-24 17:37:00,0
3379.0,2021-09-24 17:52:00,0
3376.0,2021-09-24 18:07:00,0
3373.0,2021-09-24 18:22:00,0
3371.0,2021-09-24 18:37:00,0
3369.0,2021-09-24 18:52:00,0
3367.0,2021-09-24 19:07:00,0
3365.0,2021-09-24 19:22:00,0
3364.0,2021-09-24 19:37:00,0
3362.0,2021-09-24 19:52:00,0
3361.0,2021-09-24 20:07:00,0
3359.0,2021-09-24 20:22:00,0
3358.0,2021-09-24 20:37:00,0
3356.0,2021-09-24 20:52:00,0
3355.0,2021-09-24 21:07:00,0
3354.0,2021-09-24 21:22:00,0
3353.0,2021-09-24 21:37:00,0
3352.0,2021-09-24 21:52:00,0
3351.0,2021-09-24 22:07:00,0
3350.0,2021-09-24 22:22:00,0
3349.0,2021-09-24 22:37:00,0
3348.0,2021-09-24 22:52:00,0
3347.0,2021-09-24 23:07:00,0
3346.0,2021-09-24 23:37:00,0
3345.0,2021-09-24 23:52:00,0
3344.0,2021-09-25 00:22:00,0
3343.0,2021-09-25 00:52:00,0
3342.0,2021-09-25 01:22:00,0
3341.0,2021-09-25 02:07:00,0
3340.0,2021-09-25 03:07:00,0
3339.0,2021-09-25 04:22:00,0
3338.0,2021-09-25 06:22:00,0
3339.0,2021-09-25 07:22:00,0
3340.0,2021-09-25 07:37:00,0
3341.0,2021-09-25 07:52:00,0
3342.0,2021-09-25 08:37:00,0
3343.0,2021-09-25 08:52:00,0
3344.0,2021-09-25 09:07:00,0
3346.0,2021-09-25 09:22:00,0
3350.0,2021-09-25 09:37:00,0
3356.0,2021-09-25 09:52:00,0
3362.0,2021-09-25 10:07:00,0
3370.0,2021-09-25 10:22:00,0
3382.0,2021-09-25 10:37:00,0
3405.0,2021-09-25 10:52:00,0
3475.0,2021-09-25 11:07:00,0
3491.0,2021-09-25 11:22:00,0
3492.0,2021-09-25 13:37:00,0
3491.0,2021-09-25 14:07:00,0
3495.0,2021-09-25 14:22:00,0
3494.0,2021-09-25 14:37:00,0
3483.0,2021-09-25 14:52:00,0
3461.0,2021-09-25 15:07:00,0
3451.0,2021-09-25 15:22:00,0
3442.0,2021-09-25 15:37:00,0
3432.0,2021-09-25 15:52:00,0
3422.0,2021-09-25 16:07:00,0
3414.0,2021-09-25 16:22:00,0
3409.0,2021-09-25 16:37:00,0
3403.0,2021-09-25 16:45:00,0
3399.0,2021-09-25 17:07:00,0
3394.0,2021-09-25 17:22:00,0
3391.0,2021-09-25 17:37:00,0
3387.0,2021-09-25 17:52:00,0
3384.0,2021-09-25 18:07:00,0
3381.0,2021-09-25 18:22:00,0
