value,time,diag
3340.0,2021-09-23 00:07:00,0
3339.0,2021-09-23 00:22:00,0
3338.0,2021-09-23 00:52:00,0
3337.0,2021-09-23 01:37:00,0
3336.0,2021-09-23 02:22:00,0
3335.0,2021-09-23 03:07:00,0
3334.0,2021-09-23 04:22:00,0
3333.0,2021-09-23 06:52:00,0
3334.0,2021-09-23 07:07:00,0
3335.0,2021-09-23 07:22:00,0
3336.0,2021-09-23 07:52:00,0
3337.0,2021-09-23 08:22:00,0
3338.0,2021-09-23 08:52:00,0
3340.0,2021-09-23 09:07:00,0
3343.0,2021-09-23 09:22:00,0
3347.0,2021-09-23 09:37:00,0
3354.0,2021-09-23 09:52:00,0
3359.0,2021-09-23 10:07:00,0
3365.0,2021-09-23 10:22:00,0
3379.0,2021-09-23 10:37:00,0
3409.0,2021-09-23 10:52:00,0
3458.0,2021-09-23 11:07:00,0
3460.0,2021-09-23 11:22:00,0
3459.0,2021-09-23 12:37:00,0
3458.0,2021-09-23 14:22:00,0
3443.0,2021-09-23 14:37:00,0
3430.0,2021-09-23 14:52:00,0
3422.0,2021-09-23 15:07:00,0
3412.0,2021-09-23 15:22:00,0
3403.0,2021-09-23 15:37:00,0
3396.0,2021-09-23 15:52:00,0
3390.0,2021-09-23 16:07:00,0
3385.0,2021-09-23 16:22:00,0
3380.0,2021-09-23 16:37:00,0
3377.0,2021-09-23 16:52:00,0
3375.0,2021-09-23 16:52:00,0
3373.0,2021-09-23 17:07:00,0
3371.0,2021-09-23 17:22:00,0
3368.0,2021-09-23 17:37:00,0
3365.0,2021-09-23 17:52:00,0
3363.0,2021-09-23 18:07:00,0
3361.0,2021-09-23 18:22:00,0
3359.0,2021-09-23 18:37:00,0
3357.0,2021-09-23 18:52:00,0
3355.0,2021-09-23 19:07:00,0
3354.0,2021-09-23 19:22:00,0
3352.0,2021-09-23 19:37:00,0
3351.0,2021-09-23 19:52:00,0
3349.0,2021-09-23 20:07:00,0
3348.0,2021-09-23 20:22:00,0
3347.0,2021-09-23 20:37:00,0
3346.0,2021-09-23 20:52:00,0
3345.0,2021-09-23 21:07:00,0
3344.0,2021-09-23 21:22:00,0
3343.0,2021-09-23 21:37:00,0
3342.0,2021-09-23 21:52:00,0
3341.0,2021-09-23 22:22:00,0
3340.0,2021-09-23 22:37:00,0
3339.0,2021-09-23 23:07:00,0
3338.0,2021-09-23 23:37:00,0
3337.0,2021-09-24 00:07:00,0
3336.0,2021-09-24 00:52:00,0
3335.0,2021-09-24 01:52:00,0
3334.0,2021-09-24 03:07:00,0
3333.0,2021-09-24 05:37:00,0
3334.0,2021-09-24 05:38:00,0
3333.0,2021-09-24 05:52:00,0
3334.0,2021-09-24 07:22:00,0
3335.0,2021-09-24 07:37:00,0
3336.0,2021-09-24 08:07:00,0
3337.0,2021-09-24 08:37:00,0
3338.0,2021-09-24 08:52:00,0
3339.0,2021-09-24 09:07:00,0
3342.0,2021-09-24 09:22:00,0
3346.0,2021-09-24 09:37:00,0
3349.0,2021-09-24 09:52:00,0
3392.2452509175005,2021-09-24 10:31:00,1
3415.0,2021-09-24 10:51:00,0
3398.0,2021-09-24 10:52:00,0
3447.0,2021-09-24 11:07:00,0
3459.0,2021-09-24 11:22:00,0
3458.0,2021-09-24 11:37:00,0
3457.0,2021-09-24 14:22:00,0
3441.0,2021-09-24 14:37:00,0
3429.0,2021-09-24 14:52:00,0
3417.0,2021-09-24 15:07:00,0
3406.0,2021-09-24 15:22:00,0
3400.0,2021-09-24 15:37:00,0
3392.0,2021-09-24 15:52:00,0
3388.0,2021-09-24 16:07:00,0
