value,time,diag
30.0,2021-09-23 06:52:00,0
390.99999999999994,2021-09-23 07:07:00,0
405.0,2021-09-23 07:22:00,0
406.0,2021-09-23 07:37:00,0
397.0,2021-09-23 07:52:00,0
399.0,2021-09-23 08:07:00,0
400.0,2021-09-23 08:22:00,0
397.0,2021-09-23 08:37:00,0
437.0,2021-09-23 08:52:00,0
606.0,2021-09-23 09:07:00,0
1012.0,2021-09-23 09:22:00,0
1448.0,2021-09-23 09:37:00,0
1945.0,2021-09-23 09:52:00,0
1669.0,2021-09-23 10:07:00,0
2261.0,2021-09-23 10:22:00,0
3146.0,2021-09-23 10:37:00,0
3597.0,2021-09-23 10:52:00,0
1430.0,2021-09-23 11:07:00,0
497.0,2021-09-23 11:22:00,0
423.0,2021-09-23 11:37:00,0
393.0,2021-09-23 11:52:00,0
399.0,2021-09-23 12:07:00,0
397.0,2021-09-23 12:22:00,0
383.0,2021-09-23 12:37:00,0
375.0,2021-09-23 12:52:00,0
409.0,2021-09-23 13:07:00,0
383.0,2021-09-23 13:22:00,0
397.0,2021-09-23 13:37:00,0
357.0,2021-09-23 13:52:00,0
400.0,2021-09-23 14:07:00,0
281.0,2021-09-23 14:22:00,0
106.99999999999997,2021-09-23 14:37:00,0
207.0,2021-09-23 14:52:00,0
189.0,2021-09-23 15:07:00,0
166.0,2021-09-23 15:22:00,0
144.0,2021-09-23 15:37:00,0
112.0,2021-09-23 15:52:00,0
73.0,2021-09-23 16:07:00,0
1.0,2021-09-23 16:22:00,0
0.0,2021-09-23 16:37:00,0
4.0,2021-09-24 05:40:00,0
0.0,2021-09-24 05:41:00,0
12.0,2021-09-24 06:52:00,0
399.99999999999994,2021-09-24 07:07:00,0
405.0,2021-09-24 07:22:00,0
398.0,2021-09-24 07:37:00,0
391.0,2021-09-24 07:52:00,0
396.0,2021-09-24 08:07:00,0
364.0,2021-09-24 08:22:00,0
320.0,2021-09-24 08:37:00,0
375.0,2021-09-24 08:52:00,0
574.0,2021-09-24 09:07:00,0
968.0,2021-09-24 09:22:00,0
1432.0,2021-09-24 09:37:00,0
1693.0,2021-09-24 09:52:00,0
3139.094981438241,2021-09-24 10:31:00,1
3900.0,2021-09-24 10:51:00,0
3695.0,2021-09-24 10:52:00,0
1918.0,2021-09-24 11:07:00,0
524.0,2021-09-24 11:22:00,0
454.0,2021-09-24 11:37:00,0
425.0,2021-09-24 11:52:00,0
415.0,2021-09-24 12:07:00,0
409.0,2021-09-24 12:22:00,0
423.0,2021-09-24 12:37:00,0
399.0,2021-09-24 12:52:00,0
423.0,2021-09-24 13:07:00,0
374.0,2021-09-24 13:22:00,0
381.0,2021-09-24 13:37:00,0
372.0,2021-09-24 14:07:00,0
316.0,2021-09-24 14:22:00,0
112.0,2021-09-24 14:37:00,0
109.0,2021-09-24 14:52:00,0
110.0,2021-09-24 15:07:00,0
114.0,2021-09-24 15:22:00,0
100.0,2021-09-24 15:37:00,0
16.0,2021-09-24 15:52:00,0
1.0,2021-09-24 16:07:00,0
0.0,2021-09-24 16:22:00,0
2.9999999999999996,2021-09-25 06:52:00,0
351.0,2021-09-25 07:07:00,0
415.0,2021-09-25 07:22:00,0
407.0,2021-09-25 07:37:00,0
391.0,2021-09-25 07:52:00,0
378.0,2021-09-25 08:07:00,0
379.0,2021-09-25 08:22:00,0
436.0,2021-09-25 08:52:00,0
668.0,2021-09-25 09:07:00,0
972.0,2021-09-25 09:22:00,0
1392.0,2021-09-25 09:37:00,0
1769.0,2021-09-25 09:52:00,0
1960.0,2021-09-25 10:07:00,0
2582.0,2021-09-25 10:22:00,0
3142.0,2021-09-25 10:37:00,0
3491.0,2021-09-25 10:52:00,0
2063.0,2021-09-25 11:07:00,0
527.0,2021-09-25 11:22:00,0
432.0,2021-09-25 11:37:00,0
434.0,2021-09-25 11:52:00,0
428.0,2021-09-25 12:07:00,0
414.0,2021-09-25 12:22:00,0
403.0,2021-09-25 12:37:00,0
438.0,2021-09-25 12:52:00,0
408.0,2021-09-25 13:07:00,0
383.0,2021-09-25 13:22:00,0
376.0,2021-09-25 13:37:00,0
388.0,2021-09-25 13:52:00,0
392.0,2021-09-25 14:07:00,0
491.0,2021-09-25 14:22:00,0
375.0,2021-09-25 14:37:00,0
179.0,2021-09-25 14:52:00,0
215.0,2021-09-25 15:07:00,0
281.0,2021-09-25 15:22:00,0
250.0,2021-09-25 15:37:00,0
188.0,2021-09-25 15:52:00,0
175.0,2021-09-25 16:07:00,0
116.0,2021-09-25 16:22:00,0
1.4210854715202004e-14,2021-09-25 16:37:00,0
1.0,2021-09-26 05:52:00,0
6.0,2021-09-26 06:07:00,0
72.0,2021-09-26 06:22:00,0
97.0,2021-09-26 06:37:00,0
134.0,2021-09-26 06:52:00,0
255.0,2021-09-26 07:07:00,0
365.0,2021-09-26 07:22:00,0
494.0,2021-09-26 07:37:00,0
507.0,2021-09-26 07:52:00,0
387.0,2021-09-26 08:07:00,0
327.0,2021-09-26 08:22:00,0
242.0,2021-09-26 08:37:00,0
101.0,2021-09-26 08:52:00,0
51.00000000000001,2021-09-26 09:07:00,0
7.105427357601002e-15,2021-09-26 09:22:00,0
1.0,2021-09-26 09:52:00,0
0.0,2021-09-26 10:07:00,0
20.0,2021-09-26 10:22:00,0
126.0,2021-09-26 10:37:00,0
259.0,2021-09-26 10:52:00,0
177.0,2021-09-26 11:07:00,0
363.0,2021-09-26 11:22:00,0
460.0,2021-09-26 11:37:00,0
661.0,2021-09-26 11:52:00,0
1064.0,2021-09-26 12:07:00,0
1206.0,2021-09-26 12:22:00,0
933.0,2021-09-26 12:37:00,0
790.0,2021-09-26 12:52:00,0
1854.0,2021-09-26 13:07:00,0
928.0,2021-09-26 13:22:00,0
626.0,2021-09-26 13:37:00,0
631.0,2021-09-26 13:52:00,0
279.0,2021-09-26 14:07:00,0
81.0,2021-09-26 14:22:00,0
46.0,2021-09-26 14:37:00,0
0.0,2021-09-26 14:52:00,0
1.0,2021-09-27 06:52:00,0
239.0,2021-09-27 07:07:00,0
379.0,2021-09-27 07:22:00,0
386.0,2021-09-27 07:37:00,0
399.0,2021-09-27 07:52:00,0
402.0,2021-09-27 08:07:00,0
396.0,2021-09-27 08:22:00,0
404.0,2021-09-27 08:37:00,0
516.0,2021-09-27 08:52:00,0
701.0,2021-09-27 09:07:00,0
1058.0,2021-09-27 09:22:00,0
1517.0,2021-09-27 09:37:00,0
