value,time,diag
1230.0,2021-09-23 05:23:00,0
1150.0,2021-09-23 05:25:00,0
1040.0,2021-09-23 05:26:00,0
1020.0,2021-09-23 05:27:00,0
820.0,2021-09-23 05:28:00,0
818.0,2021-09-23 05:37:00,0
2530.0,2021-09-23 05:52:00,0
3644.0,2021-09-23 06:07:00,0
1102.0,2021-09-23 06:22:00,0
1346.0,2021-09-23 06:37:00,0
3867.0,2021-09-23 06:52:00,0
13340.0,2021-09-23 07:07:00,0
13347.0,2021-09-23 07:22:00,0
13339.0,2021-09-23 07:52:00,0
13358.0,2021-09-23 08:07:00,0
13456.0,2021-09-23 08:22:00,0
13465.0,2021-09-23 08:37:00,0
13479.0,2021-09-23 08:52:00,0
13502.0,2021-09-23 09:07:00,0
13586.0,2021-09-23 09:22:00,0
13721.0,2021-09-23 09:37:00,0
13733.0,2021-09-23 09:52:00,0
13709.0,2021-09-23 10:07:00,0
13786.0,2021-09-23 10:22:00,0
13901.0,2021-09-23 10:37:00,0
13998.0,2021-09-23 10:52:00,0
12215.0,2021-09-23 11:07:00,0
10771.0,2021-09-23 11:22:00,0
9844.0,2021-09-23 11:37:00,0
9517.0,2021-09-23 11:52:00,0
9137.0,2021-09-23 12:07:00,0
8966.0,2021-09-23 12:22:00,0
8789.0,2021-09-23 12:37:00,0
8553.0,2021-09-23 12:52:00,0
8482.0,2021-09-23 13:07:00,0
8104.0,2021-09-23 13:22:00,0
8055.0,2021-09-23 13:37:00,0
7977.0,2021-09-23 13:52:00,0
7828.0,2021-09-23 14:07:00,0
9535.0,2021-09-23 14:22:00,0
14157.0,2021-09-23 14:37:00,0
13728.0,2021-09-23 14:52:00,0
13569.0,2021-09-23 15:07:00,0
13132.0,2021-09-23 15:22:00,0
13420.0,2021-09-23 15:37:00,0
11924.0,2021-09-23 15:52:00,0
9091.0,2021-09-23 16:07:00,0
2832.0,2021-09-23 16:22:00,0
752.0,2021-09-23 16:37:00,0
2589.0,2021-09-23 16:52:00,0
1460.0,2021-09-23 16:52:00,0
2589.0,2021-09-23 17:07:00,0
1220.0,2021-09-24 05:35:00,0
1150.0,2021-09-24 05:37:00,0
1173.0,2021-09-24 05:37:00,0
1120.0,2021-09-24 05:38:00,0
960.0,2021-09-24 05:40:00,0
820.0,2021-09-24 05:41:00,0
876.0,2021-09-24 05:52:00,0
2697.0,2021-09-24 06:07:00,0
3809.0,2021-09-24 06:22:00,0
801.0,2021-09-24 06:37:00,0
2800.0,2021-09-24 06:52:00,0
13347.0,2021-09-24 07:07:00,0
13365.0,2021-09-24 07:22:00,0
13354.0,2021-09-24 07:37:00,0
13411.0,2021-09-24 07:52:00,0
13466.0,2021-09-24 08:07:00,0
13519.0,2021-09-24 08:22:00,0
13573.0,2021-09-24 08:37:00,0
13549.0,2021-09-24 08:52:00,0
13599.0,2021-09-24 09:07:00,0
13699.0,2021-09-24 09:22:00,0
13747.0,2021-09-24 09:37:00,0
13815.0,2021-09-24 09:52:00,0
14021.397788469889,2021-09-24 10:31:00,1
14130.0,2021-09-24 10:51:00,0
14059.0,2021-09-24 10:52:00,0
12980.0,2021-09-24 11:07:00,0
10254.0,2021-09-24 11:22:00,0
9147.0,2021-09-24 11:37:00,0
8640.0,2021-09-24 11:52:00,0
7987.0,2021-09-24 12:07:00,0
7472.0,2021-09-24 12:22:00,0
7260.0,2021-09-24 12:37:00,0
7092.0,2021-09-24 12:52:00,0
7241.0,2021-09-24 13:07:00,0
6988.0,2021-09-24 13:22:00,0
6938.0,2021-09-24 13:37:00,0
6468.0,2021-09-24 14:07:00,0
11063.0,2021-09-24 14:22:00,0
13793.0,2021-09-24 14:37:00,0
12951.0,2021-09-24 14:52:00,0
13094.0,2021-09-24 15:07:00,0
11672.0,2021-09-24 15:22:00,0
11076.0,2021-09-24 15:37:00,0
4106.999999999999,2021-09-24 15:52:00,0
2468.0,2021-09-24 16:07:00,0
1398.0,2021-09-24 16:22:00,0
1613.0,2021-09-24 16:37:00,0
1290.0,2021-09-24 16:49:00,0
2399.0,2021-09-24 16:52:00,0
1230.0,2021-09-25 05:34:00,0
1150.0,2021-09-25 05:36:00,0
1163.0,2021-09-25 05:37:00,0
990.0,2021-09-25 05:39:00,0
820.0,2021-09-25 05:40:00,0
991.0,2021-09-25 05:52:00,0
3203.0,2021-09-25 06:07:00,0
1777.0,2021-09-25 06:22:00,0
847.0,2021-09-25 06:37:00,0
3077.0,2021-09-25 06:52:00,0
13234.0,2021-09-25 07:07:00,0
13346.0,2021-09-25 07:22:00,0
13356.0,2021-09-25 07:37:00,0
13367.0,2021-09-25 07:52:00,0
13393.0,2021-09-25 08:07:00,0
13461.0,2021-09-25 08:22:00,0
13501.0,2021-09-25 08:37:00,0
13556.0,2021-09-25 08:52:00,0
13569.0,2021-09-25 09:07:00,0
13602.0,2021-09-25 09:22:00,0
13644.0,2021-09-25 09:37:00,0
13699.0,2021-09-25 09:52:00,0
13734.0,2021-09-25 10:07:00,0
13840.0,2021-09-25 10:22:00,0
13964.0,2021-09-25 10:37:00,0
14063.0,2021-09-25 10:52:00,0
12881.0,2021-09-25 11:07:00,0
10391.0,2021-09-25 11:22:00,0
9346.0,2021-09-25 11:37:00,0
8963.0,2021-09-25 11:52:00,0
8577.0,2021-09-25 12:07:00,0
8358.0,2021-09-25 12:22:00,0
8183.0,2021-09-25 12:37:00,0
7943.0,2021-09-25 12:52:00,0
7714.0,2021-09-25 13:07:00,0
7646.0,2021-09-25 13:22:00,0
7174.0,2021-09-25 13:37:00,0
7338.0,2021-09-25 13:52:00,0
7075.0,2021-09-25 14:07:00,0
10489.0,2021-09-25 14:22:00,0
11849.0,2021-09-25 14:37:00,0
14048.0,2021-09-25 14:52:00,0
13922.0,2021-09-25 15:07:00,0
13720.0,2021-09-25 15:22:00,0
13544.0,2021-09-25 15:37:00,0
13474.0,2021-09-25 15:52:00,0
13075.0,2021-09-25 16:07:00,0
11554.0,2021-09-25 16:22:00,0
2030.0,2021-09-25 16:37:00,0
1940.0,2021-09-25 16:45:00,0
3129.0,2021-09-25 16:52:00,0
960.0,2021-09-26 05:27:00,0
2345.0,2021-09-26 05:37:00,0
1670.0,2021-09-26 05:52:00,0
4651.0,2021-09-26 06:07:00,0
12892.0,2021-09-26 06:22:00,0
13148.0,2021-09-26 06:37:00,0
13311.0,2021-09-26 06:52:00,0
13349.0,2021-09-26 07:07:00,0
13357.0,2021-09-26 07:22:00,0
13374.0,2021-09-26 07:37:00,0
13381.0,2021-09-26 07:52:00,0
