value,time,diag
5.0,2021-09-23 07:07:00,0
6.0,2021-09-23 08:52:00,0
8.0,2021-09-23 09:07:00,0
14.0,2021-09-23 09:22:00,0
20.0,2021-09-23 09:37:00,0
27.0,2021-09-23 09:52:00,0
23.0,2021-09-23 10:07:00,0
31.0,2021-09-23 10:22:00,0
44.0,2021-09-23 10:37:00,0
51.0,2021-09-23 10:52:00,0
20.0,2021-09-23 11:07:00,0
7.0,2021-09-23 11:22:00,0
6.0,2021-09-23 11:37:00,0
5.0,2021-09-23 11:52:00,0
3.0,2021-09-23 14:22:00,0
1.0,2021-09-23 14:37:00,0
3.0,2021-09-23 14:52:00,0
2.0,2021-09-23 15:07:00,0
1.0,2021-09-23 15:52:00,0
0.0,2021-09-23 16:22:00,0
5.0,2021-09-24 07:07:00,0
4.0,2021-09-24 08:22:00,0
5.0,2021-09-24 08:52:00,0
8.0,2021-09-24 09:07:00,0
13.0,2021-09-24 09:22:00,0
19.0,2021-09-24 09:37:00,0
23.0,2021-09-24 09:52:00,0
44.62262545875032,2021-09-24 10:31:00,1
56.0,2021-09-24 10:51:00,0
52.0,2021-09-24 10:52:00,0
27.0,2021-09-24 11:07:00,0
7.0,2021-09-24 11:22:00,0
6.0,2021-09-24 11:37:00,0
5.0,2021-09-24 12:07:00,0
6.0,2021-09-24 12:37:00,0
5.0,2021-09-24 12:52:00,0
4.0,2021-09-24 14:22:00,0
1.0,2021-09-24 14:37:00,0
0.0,2021-09-24 15:52:00,0
4.0,2021-09-25 07:07:00,0
5.0,2021-09-25 07:22:00,0
6.0,2021-09-25 08:52:00,0
9.0,2021-09-25 09:07:00,0
13.0,2021-09-25 09:22:00,0
19.0,2021-09-25 09:37:00,0
24.0,2021-09-25 09:52:00,0
27.0,2021-09-25 10:07:00,0
36.0,2021-09-25 10:22:00,0
44.0,2021-09-25 10:37:00,0
50.0,2021-09-25 10:52:00,0
29.0,2021-09-25 11:07:00,0
7.0,2021-09-25 11:22:00,0
6.0,2021-09-25 11:37:00,0
5.0,2021-09-25 12:07:00,0
6.0,2021-09-25 14:22:00,0
5.0,2021-09-25 14:37:00,0
