value,time,diag
83.0,2021-09-23 01:07:00,0
82.0,2021-09-23 02:52:00,0
81.0,2021-09-23 04:52:00,0
80.0,2021-09-23 06:37:00,0
81.0,2021-09-23 09:37:00,0
82.0,2021-09-23 10:07:00,0
83.0,2021-09-23 10:37:00,0
84.0,2021-09-23 10:52:00,0
100.0,2021-09-23 11:07:00,0
99.0,2021-09-23 15:22:00,0
88.0,2021-09-23 15:37:00,0
87.0,2021-09-23 16:52:00,0
86.0,2021-09-23 18:37:00,0
85.0,2021-09-23 20:37:00,0
84.0,2021-09-23 22:22:00,0
83.0,2021-09-24 00:22:00,0
82.0,2021-09-24 02:07:00,0
81.0,2021-09-24 04:07:00,0
80.0,2021-09-24 05:52:00,0
81.0,2021-09-24 09:52:00,0
82.96569322352276,2021-09-24 10:31:00,1
84.0,2021-09-24 10:51:00,0
100.0,2021-09-24 11:07:00,0
88.0,2021-09-24 15:22:00,0
87.0,2021-09-24 16:37:00,0
86.0,2021-09-24 18:22:00,0
85.0,2021-09-24 20:22:00,0
84.0,2021-09-24 22:07:00,0
83.0,2021-09-25 00:07:00,0
82.0,2021-09-25 01:52:00,0
81.0,2021-09-25 03:52:00,0
80.0,2021-09-25 05:36:00,0
81.0,2021-09-25 09:52:00,0
82.0,2021-09-25 10:22:00,0
83.0,2021-09-25 10:37:00,0
84.0,2021-09-25 10:52:00,0
100.0,2021-09-25 11:07:00,0
99.0,2021-09-25 15:37:00,0
88.0,2021-09-25 16:07:00,0
87.0,2021-09-25 16:45:00,0
86.0,2021-09-25 18:52:00,0
85.0,2021-09-25 20:37:00,0
84.0,2021-09-25 22:37:00,0
83.0,2021-09-26 00:37:00,0
82.0,2021-09-26 02:22:00,0
81.0,2021-09-26 04:22:00,0
80.0,2021-09-26 06:07:00,0
79.0,2021-09-26 08:52:00,0
78.0,2021-09-26 10:37:00,0
79.0,2021-09-26 12:37:00,0
78.0,2021-09-26 15:37:00,0
77.0,2021-09-26 17:22:00,0
76.0,2021-09-26 19:37:00,0
75.0,2021-09-26 21:22:00,0
74.0,2021-09-26 23:22:00,0
73.0,2021-09-27 01:07:00,0
72.0,2021-09-27 03:07:00,0
71.0,2021-09-27 04:52:00,0
70.0,2021-09-27 06:37:00,0
71.0,2021-09-27 09:37:00,0
72.0,2021-09-27 10:07:00,0
73.0,2021-09-27 10:22:00,0
74.0,2021-09-27 10:37:00,0
75.0,2021-09-27 10:52:00,0
76.0,2021-09-27 11:07:00,0
77.0,2021-09-27 11:22:00,0
78.0,2021-09-27 11:37:00,0
79.0,2021-09-27 11:52:00,0
100.0,2021-09-27 12:07:00,0
99.0,2021-09-27 16:07:00,0
88.0,2021-09-27 16:37:00,0
87.0,2021-09-27 17:07:00,0
86.0,2021-09-27 18:52:00,0
85.0,2021-09-27 20:52:00,0
84.0,2021-09-27 22:37:00,0
83.0,2021-09-28 00:37:00,0
82.0,2021-09-28 02:37:00,0
81.0,2021-09-28 04:52:00,0
80.0,2021-09-28 06:37:00,0
81.0,2021-09-28 09:37:00,0
82.0,2021-09-28 10:07:00,0
83.0,2021-09-28 10:22:00,0
84.0,2021-09-28 10:52:00,0
100.0,2021-09-28 11:07:00,0
99.0,2021-09-28 15:37:00,0
98.0,2021-09-28 17:52:00,0
97.0,2021-09-28 19:52:00,0
96.0,2021-09-28 21:37:00,0
95.0,2021-09-28 23:37:00,0
94.0,2021-09-29 01:07:00,0
93.0,2021-09-29 03:07:00,0
92.0,2021-09-29 04:52:00,0
91.0,2021-09-29 06:52:00,0
92.0,2021-09-29 10:22:00,0
93.0,2021-09-29 10:37:00,0
94.0,2021-09-29 10:52:00,0
95.0,2021-09-29 11:22:00,0
100.0,2021-09-29 11:37:00,0
100.0,2021-09-29 13:44:00,1
100.0,2021-09-29 14:37:00,0
99.0,2021-09-29 15:52:00,0
88.0,2021-09-29 16:22:00,0
87.0,2021-09-29 17:07:00,0
86.0,2021-09-29 19:07:00,0
85.0,2021-09-29 21:07:00,0
84.0,2021-09-29 22:52:00,0
83.0,2021-09-30 00:52:00,0
82.0,2021-09-30 02:37:00,0
82.0,2021-09-30 03:57:00,1
82.0,2021-09-30 04:05:00,0
82.0,2021-09-30 04:26:00,1
82.0,2021-09-30 04:34:00,0
81.0,2021-09-30 05:01:00,0
81.0,2021-09-30 05:40:00,1
81.0,2021-09-30 05:52:00,0
80.0,2021-09-30 07:14:00,0
80.0,2021-09-30 07:36:00,1
80.0,2021-09-30 07:53:00,0
80.0,2021-09-30 09:17:00,1
80.0,2021-09-30 09:29:00,0
81.0,2021-09-30 09:48:00,0
82.0,2021-09-30 10:11:00,0
82.88267147995187,2021-09-30 10:43:00,1
83.0,2021-09-30 10:48:00,0
100.0,2021-09-30 10:57:00,0
100.0,2021-09-30 11:17:00,1
100.0,2021-09-30 11:26:00,0
