value,time,diag
1.0,2021-05-01 06:54:00,0
2.0,2021-05-01 07:09:00,0
3.0,2021-05-01 07:39:00,0
0.0,2021-05-01 07:54:00,0
2.0,2021-05-01 08:09:00,0
5.0,2021-05-01 08:40:00,0
10.0,2021-05-01 08:58:00,0
18.833940866889673,2021-05-01 09:19:00,1
27.0,2021-05-01 09:39:00,0
28.0,2021-05-01 09:54:00,0
42.0,2021-05-01 10:09:00,0
31.0,2021-05-01 10:24:00,0
54.0,2021-05-01 10:39:00,0
64.0,2021-05-01 10:54:00,0
75.0,2021-05-01 11:09:00,0
58.0,2021-05-01 11:24:00,0
16.0,2021-05-01 11:40:00,0
10.577808790975492,2021-05-01 12:02:00,1
10.0,2021-05-01 12:04:00,0
7.795156407383104,2021-05-01 12:26:00,1
5.0,2021-05-01 12:54:00,0
3.0,2021-05-01 13:09:00,0
0.0,2021-05-01 13:24:00,0
0.0,2021-05-01 14:15:00,1
0.0,2021-05-01 14:18:00,0
0.0,2021-05-01 14:39:00,1
0.0,2021-05-01 14:54:00,0
0.0,2021-05-01 15:31:00,1
0.0,2021-05-01 15:33:00,0
0.0,2021-05-01 15:55:00,1
0.0,2021-05-01 16:24:00,0
0.0,2021-05-01 17:02:00,1
0.0,2021-05-01 17:03:00,0
0.0,2021-05-01 17:24:00,1
0.0,2021-05-01 17:54:00,0
0.0,2021-05-01 18:30:00,1
0.0,2021-05-01 18:33:00,0
0.0,2021-05-01 18:54:00,1
0.0,2021-05-01 19:09:00,0
0.0,2021-05-01 19:46:00,1
0.0,2021-05-01 19:48:00,0
0.0,2021-05-01 20:08:00,1
0.0,2021-05-01 20:39:00,0
0.0,2021-05-01 21:17:00,1
0.0,2021-05-01 21:22:00,0
0.0,2021-05-01 21:43:00,1
0.0,2021-05-01 21:54:00,0
0.0,2021-05-01 22:31:00,1
0.0,2021-05-01 22:40:00,0
0.0,2021-05-01 23:31:00,1
0.0,2021-05-01 23:39:00,0
0.0,2021-05-02 00:32:00,1
0.0,2021-05-02 00:41:00,0
0.0,2021-05-02 01:02:00,1
0.0,2021-05-02 01:23:00,0
0.0,2021-05-02 02:02:00,1
0.0,2021-05-02 02:21:00,0
0.0,2021-05-02 03:18:00,1
0.0,2021-05-02 03:40:00,0
0.0,2021-05-02 04:01:00,1
0.0,2021-05-02 04:10:00,0
0.0,2021-05-02 04:47:00,1
0.0,2021-05-02 05:11:00,0
0.0,2021-05-02 05:31:00,1
0.0,2021-05-02 05:54:00,0
0.0,2021-05-02 06:15:00,1
0.0,2021-05-02 06:20:00,0
0.0,2021-05-02 07:01:00,1
0.0,2021-05-02 07:25:00,0
0.0,2021-05-02 07:46:00,1
0.0,2021-05-02 08:10:00,0
0.9070580012020713,2021-05-02 08:32:00,1
2.0,2021-05-02 08:58:00,0
6.0,2021-05-02 09:12:00,0
9.24113207559389,2021-05-02 09:32:00,1
13.0,2021-05-02 09:56:00,0
10.0,2021-05-02 10:10:00,0
15.462222221602893,2021-05-02 10:30:00,1
18.0,2021-05-02 10:40:00,0
12.6671464541637,2021-05-02 11:00:00,1
6.0,2021-05-02 11:26:00,0
9.573663151216056,2021-05-02 11:47:00,1
14.0,2021-05-02 12:12:00,0
9.145942950524255,2021-05-02 12:33:00,1
0.0,2021-05-02 13:12:00,0
2.0411032995014815,2021-05-02 13:33:00,1
3.0000000000000004,2021-05-02 13:43:00,0
3.6716335539732188,2021-05-02 14:03:00,1
4.0,2021-05-02 14:13:00,0
2.646205357036167,2021-05-02 14:33:00,1
0.0,2021-05-02 15:13:00,0
0.0,2021-05-02 15:34:00,1
0.0,2021-05-02 15:56:00,0
0.0,2021-05-02 16:18:00,1
0.0,2021-05-02 16:43:00,0
0.0,2021-05-02 17:04:00,1
0.0,2021-05-02 17:12:00,0
0.0,2021-05-02 17:32:00,1
0.0,2021-05-02 18:05:00,0
0.0,2021-05-02 18:26:00,1
0.0,2021-05-02 18:34:00,0
0.0,2021-05-02 18:54:00,1
0.0,2021-05-02 18:59:00,0
0.0,2021-05-02 19:21:00,1
0.0,2021-05-02 19:28:00,0
0.0,2021-05-02 19:49:00,1
0.0,2021-05-02 20:12:00,0
0.0,2021-05-02 20:33:00,1
0.0,2021-05-02 20:49:00,0
0.0,2021-05-02 21:09:00,1
0.0,2021-05-02 21:14:00,0
0.0,2021-05-02 21:35:00,1
0.0,2021-05-02 21:51:00,0
0.0,2021-05-02 22:13:00,1
0.0,2021-05-02 22:43:00,0
0.0,2021-05-02 23:03:00,1
0.0,2021-05-02 23:07:00,0
0.0,2021-05-02 23:28:00,1
0.0,2021-05-02 23:58:00,0
0.0,2021-05-03 00:36:00,1
0.0,2021-05-03 01:52:00,0
0.0,2021-05-03 02:12:00,1
0.0,2021-05-03 02:35:00,0
0.0,2021-05-03 02:56:00,1
0.0,2021-05-03 03:27:00,0
0.0,2021-05-03 03:49:00,1
0.0,2021-05-03 04:11:00,0
0.0,2021-05-03 04:33:00,1
0.0,2021-05-03 07:11:00,0
4.353902954084367,2021-05-03 07:32:00,1
39.0,2021-05-03 10:20:00,0
40.0,2021-05-03 10:23:00,0
28.0,2021-05-03 10:38:00,0
21.0,2021-05-03 10:53:00,0
35.0,2021-05-03 11:08:00,0
