value,time,diag
6.0,2021-05-01 05:24:00,0
5.0,2021-05-01 05:39:00,0
4.0,2021-05-01 05:54:00,0
3.0,2021-05-01 06:09:00,0
2.0,2021-05-01 06:24:00,0
0.0,2021-05-01 06:39:00,0
0.0,2021-05-01 09:19:00,1
0.0,2021-05-01 09:39:00,0
0.0,2021-05-01 12:02:00,1
0.0,2021-05-01 12:04:00,0
0.0,2021-05-01 12:26:00,1
0.0,2021-05-01 12:54:00,0
2.0,2021-05-01 13:24:00,0
4.0,2021-05-01 13:39:00,0
5.0,2021-05-01 13:55:00,0
4.129241877056408,2021-05-01 14:15:00,1
4.0,2021-05-01 14:18:00,0
5.166896551729719,2021-05-01 14:39:00,1
6.0,2021-05-01 14:54:00,0
7.0,2021-05-01 15:10:00,0
7.0,2021-05-01 15:31:00,1
7.0,2021-05-01 15:33:00,0
7.0,2021-05-01 15:55:00,1
7.0,2021-05-01 16:24:00,0
7.0,2021-05-01 17:02:00,1
7.0,2021-05-01 17:03:00,0
7.0,2021-05-01 17:24:00,1
7.0,2021-05-01 17:54:00,0
7.0,2021-05-01 18:30:00,1
7.0,2021-05-01 18:33:00,0
7.0,2021-05-01 18:54:00,1
7.0,2021-05-01 19:09:00,0
7.0,2021-05-01 19:46:00,1
7.0,2021-05-01 19:48:00,0
7.0,2021-05-01 20:08:00,1
7.0,2021-05-01 20:39:00,0
7.0,2021-05-01 21:17:00,1
7.0,2021-05-01 21:22:00,0
7.0,2021-05-01 21:43:00,1
7.0,2021-05-01 21:54:00,0
7.0,2021-05-01 22:31:00,1
7.0,2021-05-01 22:40:00,0
7.0,2021-05-01 23:31:00,1
7.0,2021-05-01 23:39:00,0
7.0,2021-05-02 00:32:00,1
7.0,2021-05-02 00:41:00,0
7.0,2021-05-02 01:02:00,1
7.0,2021-05-02 01:23:00,0
7.0,2021-05-02 02:02:00,1
7.0,2021-05-02 02:21:00,0
7.0,2021-05-02 03:18:00,1
7.0,2021-05-02 03:40:00,0
7.0,2021-05-02 04:01:00,1
7.0,2021-05-02 04:10:00,0
7.0,2021-05-02 04:47:00,1
7.0,2021-05-02 05:11:00,0
7.0,2021-05-02 05:31:00,1
7.0,2021-05-02 05:54:00,0
6.19533711383152,2021-05-02 06:15:00,1
6.0,2021-05-02 06:20:00,0
2.83033419050015,2021-05-02 07:01:00,1
1.0,2021-05-02 07:25:00,0
0.5460258780738895,2021-05-02 07:46:00,1
0.0,2021-05-02 08:10:00,0
0.0,2021-05-02 08:32:00,1
0.0,2021-05-02 08:58:00,0
0.0,2021-05-02 09:32:00,1
