value,time,diag
724.0,2021-05-01 04:39:00,0
783.0,2021-05-01 04:54:00,0
780.0,2021-05-01 05:09:00,0
752.0,2021-05-01 05:24:00,0
749.0,2021-05-01 05:39:00,0
768.0,2021-05-01 05:54:00,0
774.0,2021-05-01 06:09:00,0
827.0,2021-05-01 06:24:00,0
830.0,2021-05-01 06:39:00,0
792.0,2021-05-01 06:54:00,0
789.0,2021-05-01 07:09:00,0
687.0,2021-05-01 07:39:00,0
796.0,2021-05-01 07:54:00,0
748.0,2021-05-01 08:09:00,0
780.0,2021-05-01 08:24:00,0
777.0,2021-05-01 08:40:00,0
726.0,2021-05-01 08:58:00,0
713.0089104898682,2021-05-01 09:19:00,1
701.0,2021-05-01 09:39:00,0
727.0,2021-05-01 09:54:00,0
621.0,2021-05-01 10:09:00,0
832.0,2021-05-01 10:24:00,0
792.0,2021-05-01 10:39:00,0
713.0,2021-05-01 10:54:00,0
226.00000000000006,2021-05-01 11:09:00,0
504.0,2021-05-01 11:24:00,0
843.0,2021-05-01 11:40:00,0
884.5701326025212,2021-05-01 12:02:00,1
889.0,2021-05-01 12:04:00,0
854.1634712366531,2021-05-01 12:26:00,1
810.0,2021-05-01 12:54:00,0
795.0,2021-05-01 13:09:00,0
791.0,2021-05-01 13:24:00,0
778.0,2021-05-01 13:39:00,0
791.0,2021-05-01 13:55:00,0
779.6813583791861,2021-05-01 14:15:00,1
778.0,2021-05-01 14:18:00,0
781.4990808819937,2021-05-01 14:39:00,1
784.0,2021-05-01 14:54:00,0
858.0,2021-05-01 15:10:00,0
841.7492957771395,2021-05-01 15:31:00,1
840.0,2021-05-01 15:33:00,0
843.8676953379625,2021-05-01 15:55:00,1
849.0,2021-05-01 16:24:00,0
814.0,2021-05-01 16:40:00,0
831.4201012314537,2021-05-01 17:02:00,1
833.0,2021-05-01 17:03:00,0
830.2096933734233,2021-05-01 17:24:00,1
826.0,2021-05-01 17:54:00,0
822.0,2021-05-01 18:10:00,0
795.1945031635821,2021-05-01 18:30:00,1
791.0,2021-05-01 18:33:00,0
738.0222841295166,2021-05-01 18:54:00,1
700.0,2021-05-01 19:09:00,0
700.0,2021-05-01 19:46:00,1
700.0,2021-05-01 19:48:00,0
700.0,2021-05-01 20:08:00,1
700.0,2021-05-01 20:39:00,0
700.0,2021-05-01 21:17:00,1
700.0,2021-05-01 21:22:00,0
700.0,2021-05-01 21:43:00,1
700.0,2021-05-01 21:54:00,0
700.0,2021-05-01 22:31:00,1
700.0,2021-05-01 22:40:00,0
700.0,2021-05-01 23:31:00,1
700.0,2021-05-01 23:39:00,0
700.0,2021-05-02 00:32:00,1
700.0,2021-05-02 00:41:00,0
700.0,2021-05-02 01:02:00,1
700.0,2021-05-02 01:23:00,0
700.0,2021-05-02 02:02:00,1
700.0,2021-05-02 02:21:00,0
700.0,2021-05-02 03:18:00,1
700.0,2021-05-02 03:40:00,0
700.0,2021-05-02 04:01:00,1
700.0,2021-05-02 04:10:00,0
711.4399557284736,2021-05-02 04:47:00,1
719.0,2021-05-02 05:11:00,0
754.6662804071849,2021-05-02 05:31:00,1
795.0,2021-05-02 05:54:00,0
723.3850031310053,2021-05-02 06:15:00,1
706.0,2021-05-02 06:20:00,0
712.0,2021-05-02 06:39:00,0
696.1503649679138,2021-05-02 07:01:00,1
679.0,2021-05-02 07:25:00,0
717.1338262417933,2021-05-02 07:46:00,1
763.0,2021-05-02 08:10:00,0
783.4088050270466,2021-05-02 08:32:00,1
808.0,2021-05-02 08:58:00,0
862.0,2021-05-02 09:12:00,0
832.8298113196549,2021-05-02 09:32:00,1
799.0,2021-05-02 09:56:00,0
917.0,2021-05-02 10:10:00,0
706.0216666905883,2021-05-02 10:30:00,1
