value,time,diag
267.0,2021-05-01 04:09:00,0
268.0,2021-05-01 04:24:00,0
269.0,2021-05-01 08:40:00,0
269.6670409882375,2021-05-01 09:19:00,1
270.0,2021-05-01 09:39:00,0
271.0,2021-05-01 09:54:00,0
272.0,2021-05-01 10:09:00,0
273.0,2021-05-01 10:39:00,0
274.0,2021-05-01 10:54:00,0
275.0,2021-05-01 11:09:00,0
277.0,2021-05-01 11:24:00,0
279.0,2021-05-01 11:40:00,0
280.80739706967483,2021-05-01 12:02:00,1
281.0,2021-05-01 12:04:00,0
281.4409687185234,2021-05-01 12:26:00,1
282.0,2021-05-01 12:54:00,0
279.0,2021-05-01 13:24:00,0
277.0,2021-05-01 13:39:00,0
275.0,2021-05-01 13:55:00,0
274.1293352599374,2021-05-01 14:15:00,1
274.0,2021-05-01 14:18:00,0
272.25045955900316,2021-05-01 14:39:00,1
271.0,2021-05-01 14:54:00,0
270.05830164773636,2021-05-01 15:31:00,1
270.0,2021-05-01 15:33:00,0
269.57025607355973,2021-05-01 15:55:00,1
269.0,2021-05-01 16:24:00,0
269.0,2021-05-01 17:02:00,1
269.0,2021-05-01 17:03:00,0
268.6013847676319,2021-05-01 17:24:00,1
268.0,2021-05-01 17:54:00,0
268.0,2021-05-01 18:30:00,1
268.0,2021-05-01 18:33:00,0
268.0,2021-05-01 18:54:00,1
268.0,2021-05-01 19:09:00,0
268.0,2021-05-01 19:46:00,1
268.0,2021-05-01 19:48:00,0
268.0,2021-05-01 20:08:00,1
268.0,2021-05-01 20:39:00,0
268.0,2021-05-01 21:17:00,1
268.0,2021-05-01 21:22:00,0
268.0,2021-05-01 21:43:00,1
268.0,2021-05-01 21:54:00,0
268.0,2021-05-01 22:31:00,1
268.0,2021-05-01 22:40:00,0
268.0,2021-05-01 23:31:00,1
268.0,2021-05-01 23:39:00,0
268.0,2021-05-02 00:32:00,1
268.0,2021-05-02 00:41:00,0
268.0,2021-05-02 01:02:00,1
268.0,2021-05-02 01:23:00,0
267.0,2021-05-02 01:41:00,0
267.5247986435592,2021-05-02 02:02:00,1
268.0,2021-05-02 02:21:00,0
267.0,2021-05-02 02:39:00,0
267.6379830089993,2021-05-02 03:18:00,1
268.0,2021-05-02 03:40:00,0
268.0,2021-05-02 04:01:00,1
