value,time,diag
1.0,2021-05-01 05:39:00,0
2.0,2021-05-01 06:24:00,0
3.0,2021-05-01 06:54:00,0
4.0,2021-05-01 07:09:00,0
5.0,2021-05-01 07:39:00,0
6.0,2021-05-01 08:09:00,0
7.0,2021-05-01 08:24:00,0
8.0,2021-05-01 08:40:00,0
9.0,2021-05-01 08:58:00,0
12.11786148243165,2021-05-01 09:19:00,1
15.0,2021-05-01 09:39:00,0
17.0,2021-05-01 09:54:00,0
20.0,2021-05-01 10:09:00,0
23.0,2021-05-01 10:24:00,0
27.0,2021-05-01 10:39:00,0
32.0,2021-05-01 10:54:00,0
38.0,2021-05-01 11:09:00,0
42.0,2021-05-01 11:24:00,0
44.0,2021-05-01 11:40:00,0
44.90369853483742,2021-05-01 12:02:00,1
45.0,2021-05-01 12:04:00,0
46.32290615557014,2021-05-01 12:26:00,1
48.0,2021-05-01 12:54:00,0
49.0,2021-05-01 13:09:00,0
50.0,2021-05-01 13:24:00,0
50.94415141174642,2021-05-01 14:15:00,1
51.0,2021-05-01 14:18:00,0
51.0,2021-05-01 14:39:00,1
51.0,2021-05-01 14:54:00,0
51.0,2021-05-01 15:31:00,1
51.0,2021-05-01 15:33:00,0
51.42974392644027,2021-05-01 15:55:00,1
52.0,2021-05-01 16:24:00,0
52.0,2021-05-01 17:02:00,1
52.0,2021-05-01 17:03:00,0
52.398615232368094,2021-05-01 17:24:00,1
53.0,2021-05-01 17:54:00,0
53.0,2021-05-01 18:30:00,1
53.0,2021-05-01 18:33:00,0
53.0,2021-05-01 18:54:00,1
53.0,2021-05-01 19:09:00,0
53.0,2021-05-01 19:46:00,1
53.0,2021-05-01 19:48:00,0
53.0,2021-05-01 20:08:00,1
53.0,2021-05-01 20:39:00,0
53.0,2021-05-01 21:17:00,1
53.0,2021-05-01 21:22:00,0
53.0,2021-05-01 21:43:00,1
53.0,2021-05-01 21:54:00,0
10.413830950498152,2021-05-01 22:31:00,1
0.0,2021-05-01 22:40:00,0
0.0,2021-05-01 23:31:00,1
0.0,2021-05-01 23:39:00,0
0.0,2021-05-02 00:32:00,1
0.0,2021-05-02 00:41:00,0
0.0,2021-05-02 01:02:00,1
0.0,2021-05-02 01:23:00,0
0.0,2021-05-02 02:02:00,1
0.0,2021-05-02 02:21:00,0
0.0,2021-05-02 03:18:00,1
0.0,2021-05-02 03:40:00,0
0.0,2021-05-02 04:01:00,1
0.0,2021-05-02 04:10:00,0
0.0,2021-05-02 04:47:00,1
0.0,2021-05-02 05:11:00,0
0.0,2021-05-02 05:31:00,1
0.0,2021-05-02 05:54:00,0
0.0,2021-05-02 06:15:00,1
0.0,2021-05-02 06:20:00,0
0.63393316189997,2021-05-02 07:01:00,1
1.0,2021-05-02 07:25:00,0
1.907948243852221,2021-05-02 07:46:00,1
3.0,2021-05-02 08:10:00,0
3.0,2021-05-02 08:32:00,1
3.0,2021-05-02 08:58:00,0
5.0,2021-05-02 09:12:00,0
5.926037735883969,2021-05-02 09:32:00,1
7.0,2021-05-02 09:56:00,0
11.0,2021-05-02 10:10:00,0
13.048333333101084,2021-05-02 10:30:00,1
14.0,2021-05-02 10:40:00,0
15.333213386459075,2021-05-02 11:00:00,1
17.0,2021-05-02 11:26:00,0
18.78683157560803,2021-05-02 11:47:00,1
21.0,2021-05-02 12:12:00,0
21.693436721353677,2021-05-02 12:33:00,1
23.0,2021-05-02 13:12:00,0
23.680367766500495,2021-05-02 13:33:00,1
24.0,2021-05-02 13:43:00,0
25.34326710794644,2021-05-02 14:03:00,1
26.0,2021-05-02 14:13:00,0
26.0,2021-05-02 14:33:00,1
26.0,2021-05-02 15:13:00,0
26.48354626408382,2021-05-02 15:34:00,1
27.0,2021-05-02 15:56:00,0
27.0,2021-05-02 16:18:00,1
27.0,2021-05-02 16:43:00,0
27.729638009085974,2021-05-02 17:04:00,1
28.0,2021-05-02 17:12:00,0
28.0,2021-05-02 17:32:00,1
28.0,2021-05-02 18:05:00,0
28.0,2021-05-02 18:26:00,1
28.0,2021-05-02 18:34:00,0
28.0,2021-05-02 18:54:00,1
28.0,2021-05-02 18:59:00,0
28.0,2021-05-02 19:21:00,1
28.0,2021-05-02 19:28:00,0
28.0,2021-05-02 19:49:00,1
28.0,2021-05-02 20:12:00,0
28.0,2021-05-02 20:33:00,1
28.0,2021-05-02 20:49:00,0
28.0,2021-05-02 21:09:00,1
28.0,2021-05-02 21:14:00,0
28.0,2021-05-02 21:35:00,1
28.0,2021-05-02 21:51:00,0
28.0,2021-05-02 22:13:00,1
28.0,2021-05-02 22:43:00,0
3.615438589513275,2021-05-02 23:03:00,1
0.0,2021-05-02 23:07:00,0
0.0,2021-05-02 23:28:00,1
0.0,2021-05-02 23:58:00,0
0.0,2021-05-03 00:36:00,1
0.0,2021-05-03 01:52:00,0
0.0,2021-05-03 02:12:00,1
0.0,2021-05-03 02:35:00,0
0.0,2021-05-03 02:56:00,1
0.0,2021-05-03 03:27:00,0
0.0,2021-05-03 03:49:00,1
0.0,2021-05-03 04:11:00,0
0.12208924763055765,2021-05-03 04:33:00,1
1.0,2021-05-03 07:11:00,0
3.344409282968505,2021-05-03 07:32:00,1
21.999999999999996,2021-05-03 10:20:00,0
25.0,2021-05-03 10:38:00,0
27.0,2021-05-03 10:53:00,0
30.0,2021-05-03 11:08:00,0
35.0,2021-05-03 11:23:00,0
37.0,2021-05-03 11:38:00,0
43.0,2021-05-03 11:53:00,0
49.0,2021-05-03 12:08:00,0
56.0,2021-05-03 12:23:00,0
62.0,2021-05-03 12:38:00,0
68.0,2021-05-03 12:53:00,0
75.0,2021-05-03 13:08:00,0
79.0,2021-05-03 13:23:00,0
81.0,2021-05-03 13:38:00,0
83.0,2021-05-03 13:53:00,0
84.0,2021-05-03 14:08:00,0
85.0,2021-05-03 14:38:00,0
86.0,2021-05-03 14:53:00,0
87.0,2021-05-03 15:23:00,0
88.0,2021-05-03 16:38:00,0
89.0,2021-05-03 18:08:00,0
0.0,2021-05-03 22:53:00,0
1.0,2021-05-04 06:08:00,0
2.0,2021-05-04 06:53:00,0
3.0,2021-05-04 07:23:00,0
4.0,2021-05-04 07:53:00,0
5.0,2021-05-04 08:08:00,0
6.0,2021-05-04 08:23:00,0
7.0,2021-05-04 08:38:00,0
9.0,2021-05-04 08:53:00,0
