value,time,diag
3.0,2021-05-01 04:16:00,0
9.0,2021-05-01 04:32:00,0
15.0,2021-05-01 04:47:00,0
19.0,2021-05-01 05:02:00,0
24.0,2021-05-01 05:17:00,0
38.0,2021-05-01 05:32:00,0
56.0,2021-05-01 05:47:00,0
74.0,2021-05-01 06:01:00,0
89.0,2021-05-01 06:17:00,0
125.0,2021-05-01 06:31:00,0
136.0,2021-05-01 06:47:00,0
169.0,2021-05-01 07:02:00,0
163.0,2021-05-01 07:17:00,0
192.0,2021-05-01 07:32:00,0
278.0,2021-05-01 07:47:00,0
137.0,2021-05-01 08:02:00,0
330.0,2021-05-01 08:17:00,0
465.0,2021-05-01 08:32:00,0
657.0,2021-05-01 08:48:00,0
729.436764702648,2021-05-01 09:09:00,1
735.0,2021-05-01 09:11:00,0
740.6714351641623,2021-05-01 09:31:00,1
745.0,2021-05-01 09:47:00,0
700.0,2021-05-01 10:02:00,0
702.0,2021-05-01 10:17:00,0
788.0,2021-05-01 10:32:00,0
912.0,2021-05-01 10:47:00,0
947.0,2021-05-01 11:02:00,0
996.0,2021-05-01 11:17:00,0
891.0,2021-05-01 11:32:00,0
908.0,2021-05-01 11:50:00,0
685.8798050612293,2021-05-01 12:10:00,1
575.0,2021-05-01 12:20:00,0
410.1517604079878,2021-05-01 12:42:00,1
265.0,2021-05-01 13:02:00,0
139.0,2021-05-01 13:17:00,0
84.0,2021-05-01 13:32:00,0
54.0,2021-05-01 13:47:00,0
53.0,2021-05-01 14:04:00,0
56.3037578290001,2021-05-01 14:25:00,1
58.0,2021-05-01 14:36:00,0
26.36968927931893,2021-05-01 14:57:00,1
19.0,2021-05-01 15:02:00,0
15.0,2021-05-01 15:19:00,0
12.548206800030837,2021-05-01 15:41:00,1
11.0,2021-05-01 15:55:00,0
10.452584269744063,2021-05-01 16:15:00,1
10.0,2021-05-01 16:32:00,0
9.0,2021-05-01 16:50:00,0
7.341013824652501,2021-05-01 17:10:00,1
6.0,2021-05-01 17:26:00,0
2.9444444448486644,2021-05-01 17:48:00,1
1.0,2021-05-01 18:02:00,0
1.1102230246251565e-16,2021-05-01 18:18:00,0
0.0,2021-05-01 18:40:00,1
0.0,2021-05-01 18:52:00,0
0.0,2021-05-01 19:12:00,1
0.0,2021-05-01 19:17:00,0
0.0,2021-05-01 19:54:00,1
0.0,2021-05-01 20:11:00,0
0.0,2021-05-01 20:33:00,1
0.0,2021-05-01 20:47:00,0
0.0,2021-05-01 21:27:00,1
0.0,2021-05-01 22:02:00,0
0.0,2021-05-01 22:41:00,1
0.0,2021-05-01 23:02:00,0
0.0,2021-05-01 23:41:00,1
0.0,2021-05-02 00:02:00,0
0.0,2021-05-02 00:42:00,1
0.0,2021-05-02 01:32:00,0
0.0,2021-05-02 02:14:00,1
0.0,2021-05-02 02:48:00,0
0.0,2021-05-02 03:08:00,1
0.0,2021-05-02 03:09:00,0
0.0,2021-05-02 03:30:00,1
