value,time,diag
3334.0,2021-05-01 01:09:00,0
3333.0,2021-05-01 03:54:00,0
3334.0,2021-05-01 06:09:00,0
3335.0,2021-05-01 06:24:00,0
3336.0,2021-05-01 06:39:00,0
3337.0,2021-05-01 06:54:00,0
3338.0,2021-05-01 07:09:00,0
3339.0,2021-05-01 07:24:00,0
3340.0,2021-05-01 08:24:00,0
3341.0,2021-05-01 08:40:00,0
3344.0,2021-05-01 08:58:00,0
3350.7553665452688,2021-05-01 09:19:00,1
3357.0,2021-05-01 09:39:00,0
3362.0,2021-05-01 09:54:00,0
3369.0,2021-05-01 10:09:00,0
3378.0,2021-05-01 10:39:00,0
3384.0,2021-05-01 10:54:00,0
3398.0,2021-05-01 11:09:00,0
3424.0,2021-05-01 11:24:00,0
3453.0,2021-05-01 11:40:00,0
3479.207257510285,2021-05-01 12:02:00,1
3482.0,2021-05-01 12:04:00,0
3477.590312814766,2021-05-01 12:26:00,1
3472.0,2021-05-01 12:54:00,0
3471.0,2021-05-01 13:09:00,0
3442.0,2021-05-01 13:24:00,0
3419.0,2021-05-01 13:39:00,0
3399.0,2021-05-01 13:55:00,0
3387.6801444017333,2021-05-01 14:15:00,1
3386.0,2021-05-01 14:18:00,0
3371.4137931033783,2021-05-01 14:39:00,1
3361.0,2021-05-01 14:54:00,0
3356.0,2021-05-01 15:10:00,0
3351.48591549365,2021-05-01 15:31:00,1
3351.0,2021-05-01 15:33:00,0
3346.272816809157,2021-05-01 15:55:00,1
3340.0,2021-05-01 16:24:00,0
3339.0,2021-05-01 16:40:00,0
3338.0831525667654,2021-05-01 17:02:00,1
3338.0,2021-05-01 17:03:00,0
3337.202769535264,2021-05-01 17:24:00,1
3336.0,2021-05-01 17:54:00,0
3336.0,2021-05-01 18:30:00,1
3336.0,2021-05-01 18:33:00,0
3336.0,2021-05-01 18:54:00,1
3336.0,2021-05-01 19:09:00,0
3336.0,2021-05-01 19:46:00,1
3336.0,2021-05-01 19:48:00,0
3335.607586657911,2021-05-01 20:08:00,1
3335.0,2021-05-01 20:39:00,0
3335.0,2021-05-01 21:17:00,1
3335.0,2021-05-01 21:22:00,0
3335.0,2021-05-01 21:43:00,1
3335.0,2021-05-01 21:54:00,0
3335.0,2021-05-01 22:31:00,1
3335.0,2021-05-01 22:40:00,0
3334.0,2021-05-01 22:54:00,0
3334.0,2021-05-01 23:31:00,1
3334.0,2021-05-01 23:39:00,0
3334.0,2021-05-02 00:32:00,1
3334.0,2021-05-02 00:41:00,0
3334.0,2021-05-02 01:02:00,1
3334.0,2021-05-02 01:23:00,0
3333.0,2021-05-02 01:41:00,0
3333.0,2021-05-02 02:02:00,1
3333.0,2021-05-02 02:21:00,0
3332.276417660624,2021-05-02 03:18:00,1
3332.0,2021-05-02 03:40:00,0
3332.0,2021-05-02 04:01:00,1
