value,time,diag
24.0,2021-05-01 04:39:00,0
83.0,2021-05-01 04:54:00,0
80.0,2021-05-01 05:09:00,0
152.0,2021-05-01 05:24:00,0
249.0,2021-05-01 05:39:00,0
368.0,2021-05-01 05:54:00,0
474.0,2021-05-01 06:09:00,0
627.0,2021-05-01 06:24:00,0
830.0,2021-05-01 06:39:00,0
892.0,2021-05-01 06:54:00,0
989.0,2021-05-01 07:09:00,0
987.0,2021-05-01 07:39:00,0
796.0,2021-05-01 07:54:00,0
948.0,2021-05-01 08:09:00,0
980.0,2021-05-01 08:24:00,0
1277.0,2021-05-01 08:40:00,0
1726.0,2021-05-01 08:58:00,0
2596.4029971788354,2021-05-01 09:19:00,1
3401.0,2021-05-01 09:39:00,0
3527.0,2021-05-01 09:54:00,0
4821.0,2021-05-01 10:09:00,0
3932.0,2021-05-01 10:24:00,0
6192.0,2021-05-01 10:39:00,0
7113.0,2021-05-01 10:54:00,0
7726.0,2021-05-01 11:09:00,0
6304.0,2021-05-01 11:24:00,0
2443.0000000000005,2021-05-01 11:40:00,0
1942.3510117000706,2021-05-01 12:02:00,1
1889.0,2021-05-01 12:04:00,0
1633.6791119749635,2021-05-01 12:26:00,1
1310.0,2021-05-01 12:54:00,0
1095.0,2021-05-01 13:09:00,0
591.0,2021-05-01 13:24:00,0
378.0,2021-05-01 13:39:00,0
291.0,2021-05-01 13:55:00,0
366.7478323854465,2021-05-01 14:15:00,1
378.0,2021-05-01 14:18:00,0
264.86305148220447,2021-05-01 14:39:00,1
184.0,2021-05-01 14:54:00,0
158.0,2021-05-01 15:10:00,0
141.7492957771395,2021-05-01 15:31:00,1
140.0,2021-05-01 15:33:00,0
143.8676953379624,2021-05-01 15:55:00,1
149.0,2021-05-01 16:24:00,0
114.0,2021-05-01 16:40:00,0
131.4201012314537,2021-05-01 17:02:00,1
133.0,2021-05-01 17:03:00,0
130.20969337342336,2021-05-01 17:24:00,1
126.0,2021-05-01 17:54:00,0
122.0,2021-05-01 18:10:00,0
95.19450316358211,2021-05-01 18:30:00,1
91.0,2021-05-01 18:33:00,0
38.02228412951665,2021-05-01 18:54:00,1
0.0,2021-05-01 19:09:00,0
0.0,2021-05-01 19:46:00,1
0.0,2021-05-01 19:48:00,0
0.0,2021-05-01 20:08:00,1
0.0,2021-05-01 20:39:00,0
0.0,2021-05-01 21:17:00,1
0.0,2021-05-01 21:22:00,0
0.0,2021-05-01 21:43:00,1
0.0,2021-05-01 21:54:00,0
0.0,2021-05-01 22:31:00,1
0.0,2021-05-01 22:40:00,0
0.0,2021-05-01 23:31:00,1
0.0,2021-05-01 23:39:00,0
0.0,2021-05-02 00:32:00,1
0.0,2021-05-02 00:41:00,0
0.0,2021-05-02 01:02:00,1
0.0,2021-05-02 01:23:00,0
0.0,2021-05-02 02:02:00,1
0.0,2021-05-02 02:21:00,0
0.0,2021-05-02 03:18:00,1
0.0,2021-05-02 03:40:00,0
0.0,2021-05-02 04:01:00,1
0.0,2021-05-02 04:10:00,0
11.439955728473569,2021-05-02 04:47:00,1
19.0,2021-05-02 05:11:00,0
54.666280407184864,2021-05-02 05:31:00,1
95.0,2021-05-02 05:54:00,0
103.85129174785328,2021-05-02 06:15:00,1
106.0,2021-05-02 06:20:00,0
112.0,2021-05-02 06:39:00,0
336.2963503025537,2021-05-02 07:01:00,1
579.0,2021-05-02 07:25:00,0
662.5312384344044,2021-05-02 07:46:00,1
763.0,2021-05-02 08:10:00,0
874.1146051472538,2021-05-02 08:32:00,1
1008.0,2021-05-02 08:58:00,0
1462.0,2021-05-02 09:12:00,0
1756.943018879044,2021-05-02 09:32:00,1
2099.0,2021-05-02 09:56:00,0
1917.0,2021-05-02 10:10:00,0
2252.2438888508777,2021-05-02 10:30:00,1
2408.0,2021-05-02 10:40:00,0
1918.2662827073664,2021-05-02 11:00:00,1
1306.0,2021-05-02 11:26:00,0
1717.4179702837487,2021-05-02 11:47:00,1
2227.0,2021-05-02 12:12:00,0
1662.1957904574294,2021-05-02 12:33:00,1
598.0,2021-05-02 13:12:00,0
909.6084370572262,2021-05-02 13:33:00,1
1056.0,2021-05-02 13:43:00,0
1103.6859823320985,2021-05-02 14:03:00,1
1127.0,2021-05-02 14:13:00,0
825.4422432798062,2021-05-02 14:33:00,1
236.0,2021-05-02 15:13:00,0
203.11885404230034,2021-05-02 15:34:00,1
168.0,2021-05-02 15:56:00,0
146.35681086543536,2021-05-02 16:18:00,1
122.0,2021-05-02 16:43:00,0
107.40723981828052,2021-05-02 17:04:00,1
102.0,2021-05-02 17:12:00,0
103.5221907463246,2021-05-02 17:32:00,1
106.0,2021-05-02 18:05:00,0
28.591709243813497,2021-05-02 18:26:00,1
1.4210854715202004e-14,2021-05-02 18:34:00,0
0.0,2021-05-02 18:54:00,1
0.0,2021-05-02 18:59:00,0
0.0,2021-05-02 19:21:00,1
0.0,2021-05-02 19:28:00,0
0.0,2021-05-02 19:49:00,1
0.0,2021-05-02 20:12:00,0
0.0,2021-05-02 20:33:00,1
0.0,2021-05-02 20:49:00,0
0.0,2021-05-02 21:09:00,1
0.0,2021-05-02 21:14:00,0
0.0,2021-05-02 21:35:00,1
0.0,2021-05-02 21:51:00,0
0.0,2021-05-02 22:13:00,1
0.0,2021-05-02 22:43:00,0
0.0,2021-05-02 23:03:00,1
0.0,2021-05-02 23:07:00,0
0.0,2021-05-02 23:28:00,1
0.0,2021-05-02 23:58:00,0
0.0,2021-05-03 00:36:00,1
0.0,2021-05-03 01:52:00,0
0.0,2021-05-03 02:12:00,1
0.0,2021-05-03 02:35:00,0
0.0,2021-05-03 02:56:00,1
0.0,2021-05-03 03:27:00,0
0.0,2021-05-03 03:49:00,1
0.0,2021-05-03 04:11:00,0
26.249188240569893,2021-05-03 04:33:00,1
215.0,2021-05-03 07:11:00,0
738.026547176545,2021-05-03 07:32:00,1
4900.0,2021-05-03 10:20:00,0
4468.0,2021-05-03 10:23:00,0
4290.0,2021-05-03 10:38:00,0
2977.0,2021-05-03 10:53:00,0
3642.0,2021-05-03 11:08:00,0
7002.0,2021-05-03 11:23:00,0
3584.0,2021-05-03 11:38:00,0
8797.0,2021-05-03 11:53:00,0
9071.0,2021-05-03 12:08:00,0
8878.0,2021-05-03 12:23:00,0
8977.0,2021-05-03 12:38:00,0
8959.0,2021-05-03 12:53:00,0
9406.0,2021-05-03 13:08:00,0
6428.0,2021-05-03 13:23:00,0
2996.0,2021-05-03 13:38:00,0
1691.0,2021-05-03 13:53:00,0
1278.0,2021-05-03 14:08:00,0
1146.0,2021-05-03 14:23:00,0
1419.0,2021-05-03 14:38:00,0
954.0,2021-05-03 14:53:00,0
431.0,2021-05-03 15:08:00,0
298.0,2021-05-03 15:23:00,0
312.0,2021-05-03 15:38:00,0
275.0,2021-05-03 15:53:00,0
228.0,2021-05-03 16:08:00,0
216.0,2021-05-03 16:38:00,0
188.0,2021-05-03 16:53:00,0
183.0,2021-05-03 17:08:00,0
204.0,2021-05-03 17:23:00,0
191.0,2021-05-03 17:38:00,0
156.0,2021-05-03 17:53:00,0
114.0,2021-05-03 18:08:00,0
33.0,2021-05-03 18:23:00,0
0.0,2021-05-03 18:38:00,0
12.0,2021-05-04 04:38:00,0
92.0,2021-05-04 04:53:00,0
112.0,2021-05-04 05:08:00,0
202.0,2021-05-04 05:38:00,0
284.0,2021-05-04 05:53:00,0
455.0,2021-05-04 06:08:00,0
473.0,2021-05-04 06:23:00,0
427.0,2021-05-04 06:38:00,0
492.0,2021-05-04 06:53:00,0
665.0,2021-05-04 07:08:00,0
784.0,2021-05-04 07:23:00,0
933.0,2021-05-04 07:38:00,0
1263.0,2021-05-04 07:53:00,0
954.0,2021-05-04 08:08:00,0
1438.0,2021-05-04 08:23:00,0
1774.0,2021-05-04 08:38:00,0
2436.0,2021-05-04 08:53:00,0
1879.0,2021-05-04 09:08:00,0
3108.0,2021-05-04 09:23:00,0
3984.0,2021-05-04 09:38:00,0
3479.0,2021-05-04 09:53:00,0
2620.0,2021-05-04 10:08:00,0
2029.0,2021-05-04 10:23:00,0
3496.0,2021-05-04 10:38:00,0
3484.0,2021-05-04 10:53:00,0
3026.0,2021-05-04 11:08:00,0
6393.0,2021-05-04 11:23:00,0
7270.0,2021-05-04 11:38:00,0
6227.0,2021-05-04 11:53:00,0
5345.0,2021-05-04 12:08:00,0
1888.0,2021-05-04 12:23:00,0
1290.0,2021-05-04 12:38:00,0
1036.0,2021-05-04 12:53:00,0
1001.0,2021-05-04 13:08:00,0
986.0,2021-05-04 13:23:00,0
1292.0,2021-05-04 13:38:00,0
1066.0,2021-05-04 13:53:00,0
930.0,2021-05-04 14:08:00,0
