value,time,diag
25831.0,2021-05-01 01:09:00,0
25829.0,2021-05-01 01:24:00,0
25828.0,2021-05-01 01:39:00,0
25827.0,2021-05-01 01:54:00,0
25826.0,2021-05-01 02:24:00,0
25825.0,2021-05-01 02:54:00,0
25824.0,2021-05-01 03:24:00,0
25823.0,2021-05-01 03:39:00,0
25796.0,2021-05-01 03:54:00,0
25823.0,2021-05-01 04:09:00,0
25898.0,2021-05-01 04:24:00,0
25988.0,2021-05-01 04:39:00,0
26147.0,2021-05-01 04:54:00,0
26409.0,2021-05-01 05:09:00,0
26616.0,2021-05-01 05:24:00,0
26620.0,2021-05-01 05:54:00,0
26630.0,2021-05-01 06:09:00,0
26644.0,2021-05-01 06:24:00,0
26664.0,2021-05-01 06:39:00,0
26673.0,2021-05-01 06:54:00,0
26688.0,2021-05-01 07:09:00,0
26693.0,2021-05-01 07:24:00,0
26696.0,2021-05-01 07:39:00,0
26689.0,2021-05-01 07:54:00,0
26698.0,2021-05-01 08:09:00,0
26704.0,2021-05-01 08:24:00,0
26728.0,2021-05-01 08:40:00,0
26772.0,2021-05-01 08:58:00,0
26876.968003241866,2021-05-01 09:19:00,1
26974.0,2021-05-01 09:39:00,0
27022.0,2021-05-01 09:54:00,0
27147.0,2021-05-01 10:09:00,0
27103.0,2021-05-01 10:24:00,0
27296.0,2021-05-01 10:39:00,0
27408.0,2021-05-01 10:54:00,0
27531.0,2021-05-01 11:09:00,0
27701.0,2021-05-01 11:24:00,0
27471.0,2021-05-01 11:40:00,0
27585.769713924354,2021-05-01 12:02:00,1
27598.0,2021-05-01 12:04:00,0
27699.422805260376,2021-05-01 12:26:00,1
27828.0,2021-05-01 12:54:00,0
27952.0,2021-05-01 13:09:00,0
27743.0,2021-05-01 13:24:00,0
27505.0,2021-05-01 13:39:00,0
27336.0,2021-05-01 13:55:00,0
27236.815884472984,2021-05-01 14:15:00,1
27222.0,2021-05-01 14:18:00,0
27057.0142529032,2021-05-01 14:39:00,1
26939.0,2021-05-01 14:54:00,0
26798.0,2021-05-01 15:10:00,0
26231.93380290369,2021-05-01 15:31:00,1
26171.0,2021-05-01 15:33:00,0
26134.901510179017,2021-05-01 15:55:00,1
26087.0,2021-05-01 16:24:00,0
25910.0,2021-05-01 16:40:00,0
25964.09399856083,2021-05-01 17:02:00,1
25969.0,2021-05-01 17:03:00,0
25884.493570737966,2021-05-01 17:24:00,1
25757.0,2021-05-01 17:54:00,0
25764.0,2021-05-01 18:10:00,0
25808.09936576314,2021-05-01 18:30:00,1
25815.0,2021-05-01 18:33:00,0
25833.047353758076,2021-05-01 18:54:00,1
25846.0,2021-05-01 19:09:00,0
25842.0,2021-05-01 19:25:00,0
25841.088545326704,2021-05-01 19:46:00,1
25841.0,2021-05-01 19:48:00,0
25840.607586657912,2021-05-01 20:08:00,1
25840.0,2021-05-01 20:39:00,0
25840.0,2021-05-01 21:17:00,1
25840.0,2021-05-01 21:22:00,0
25839.353509664106,2021-05-01 21:43:00,1
25839.0,2021-05-01 21:54:00,0
25838.0,2021-05-01 22:11:00,0
25835.91068400199,2021-05-01 22:31:00,1
25835.0,2021-05-01 22:40:00,0
25832.0,2021-05-01 22:54:00,0
25830.0,2021-05-01 23:10:00,0
25829.254577672913,2021-05-01 23:31:00,1
25829.0,2021-05-01 23:39:00,0
25827.0,2021-05-01 23:54:00,0
25826.203855765893,2021-05-02 00:32:00,1
25826.0,2021-05-02 00:41:00,0
