value,time,diag
1.0,2021-05-01 04:39:00,0
2.0,2021-05-01 04:54:00,0
3.0,2021-05-01 05:09:00,0
5.0,2021-05-01 05:24:00,0
7.0,2021-05-01 05:39:00,0
11.0,2021-05-01 05:54:00,0
14.0,2021-05-01 06:09:00,0
18.0,2021-05-01 06:24:00,0
23.0,2021-05-01 06:39:00,0
25.0,2021-05-01 06:54:00,0
28.0,2021-05-01 07:09:00,0
27.0,2021-05-01 07:24:00,0
22.0,2021-05-01 07:54:00,0
26.0,2021-05-01 08:09:00,0
27.0,2021-05-01 08:24:00,0
35.0,2021-05-01 08:40:00,0
48.0,2021-05-01 08:58:00,0
71.90360469864265,2021-05-01 09:19:00,1
94.0,2021-05-01 09:39:00,0
98.0,2021-05-01 09:54:00,0
134.0,2021-05-01 10:09:00,0
109.0,2021-05-01 10:24:00,0
173.0,2021-05-01 10:39:00,0
200.0,2021-05-01 10:54:00,0
218.0,2021-05-01 11:09:00,0
179.0,2021-05-01 11:24:00,0
69.0,2021-05-01 11:40:00,0
55.44452197743873,2021-05-01 12:02:00,1
54.0,2021-05-01 12:04:00,0
46.94450050362593,2021-05-01 12:26:00,1
38.0,2021-05-01 12:54:00,0
32.0,2021-05-01 13:09:00,0
18.0,2021-05-01 13:24:00,0
11.0,2021-05-01 13:39:00,0
9.0,2021-05-01 13:55:00,0
10.740072202228331,2021-05-01 14:15:00,1
11.0,2021-05-01 14:18:00,0
8.085057471787946,2021-05-01 14:39:00,1
6.0,2021-05-01 14:54:00,0
5.0,2021-05-01 15:10:00,0
4.097183098729973,2021-05-01 15:31:00,1
4.0,2021-05-01 15:33:00,0
4.429743926440267,2021-05-01 15:55:00,1
5.0,2021-05-01 16:24:00,0
5.0,2021-05-01 17:02:00,1
5.0,2021-05-01 17:03:00,0
4.601384767631909,2021-05-01 17:24:00,1
4.0,2021-05-01 17:54:00,0
2.163473818345458,2021-05-01 18:30:00,1
2.0,2021-05-01 18:33:00,0
0.835654596253113,2021-05-01 18:54:00,1
0.0,2021-05-01 19:09:00,0
0.0,2021-05-01 19:46:00,1
0.0,2021-05-01 19:48:00,0
0.0,2021-05-01 20:08:00,1
0.0,2021-05-01 20:39:00,0
0.0,2021-05-01 21:17:00,1
0.0,2021-05-01 21:22:00,0
0.0,2021-05-01 21:43:00,1
0.0,2021-05-01 21:54:00,0
0.0,2021-05-01 22:31:00,1
0.0,2021-05-01 22:40:00,0
0.0,2021-05-01 23:31:00,1
0.0,2021-05-01 23:39:00,0
0.0,2021-05-02 00:32:00,1
0.0,2021-05-02 00:41:00,0
0.0,2021-05-02 01:02:00,1
0.0,2021-05-02 01:23:00,0
0.0,2021-05-02 02:02:00,1
0.0,2021-05-02 02:21:00,0
0.0,2021-05-02 03:18:00,1
0.0,2021-05-02 03:40:00,0
0.0,2021-05-02 04:01:00,1
0.0,2021-05-02 04:10:00,0
0.6021029330775562,2021-05-02 04:47:00,1
1.0,2021-05-02 05:11:00,0
1.9385863265048648,2021-05-02 05:31:00,1
3.0,2021-05-02 05:54:00,0
3.0,2021-05-02 06:15:00,1
3.0,2021-05-02 06:20:00,0
4.0,2021-05-02 06:39:00,0
9.76350364803136,2021-05-02 07:01:00,1
16.0,2021-05-02 07:25:00,0
18.723844731556664,2021-05-02 07:46:00,1
22.0,2021-05-02 08:10:00,0
24.721174003606215,2021-05-02 08:32:00,1
