value,time,diag
88.0,2021-05-01 02:39:00,0
87.0,2021-05-01 04:24:00,0
87.93723539373465,2021-05-01 09:19:00,1
88.0,2021-05-01 09:39:00,0
89.0,2021-05-01 09:54:00,0
90.0,2021-05-01 10:09:00,0
91.0,2021-05-01 10:39:00,0
93.0,2021-05-01 10:54:00,0
94.0,2021-05-01 11:09:00,0
100.0,2021-05-01 11:24:00,0
100.0,2021-05-01 12:02:00,1
100.0,2021-05-01 12:04:00,0
100.0,2021-05-01 12:26:00,1
100.0,2021-05-01 12:54:00,0
94.21360381829557,2021-05-01 14:15:00,1
94.0,2021-05-01 14:18:00,0
94.0,2021-05-01 14:39:00,1
94.0,2021-05-01 14:54:00,0
93.05827702710236,2021-05-01 15:31:00,1
93.0,2021-05-01 15:33:00,0
93.0,2021-05-01 15:55:00,1
93.0,2021-05-01 16:24:00,0
92.0487908357391,2021-05-01 17:02:00,1
92.0,2021-05-01 17:03:00,0
92.0,2021-05-01 17:24:00,1
92.0,2021-05-01 17:54:00,0
92.0,2021-05-01 18:30:00,1
92.0,2021-05-01 18:33:00,0
91.41782729812655,2021-05-01 18:54:00,1
91.0,2021-05-01 19:09:00,0
91.0,2021-05-01 19:46:00,1
91.0,2021-05-01 19:48:00,0
90.6075866579106,2021-05-01 20:08:00,1
90.0,2021-05-01 20:39:00,0
90.0,2021-05-01 21:17:00,1
90.0,2021-05-01 21:22:00,0
90.0,2021-05-01 21:43:00,1
90.0,2021-05-01 21:54:00,0
89.0,2021-05-01 22:11:00,0
89.0,2021-05-01 22:31:00,1
89.0,2021-05-01 22:40:00,0
89.0,2021-05-01 23:31:00,1
89.0,2021-05-01 23:39:00,0
88.0,2021-05-01 23:54:00,0
88.0,2021-05-02 00:32:00,1
88.0,2021-05-02 00:41:00,0
88.0,2021-05-02 01:02:00,1
88.0,2021-05-02 01:23:00,0
87.0,2021-05-02 01:41:00,0
87.0,2021-05-02 02:02:00,1
87.0,2021-05-02 02:21:00,0
86.27641766062399,2021-05-02 03:18:00,1
86.0,2021-05-02 03:40:00,0
86.0,2021-05-02 04:01:00,1
86.0,2021-05-02 04:10:00,0
85.39789706692244,2021-05-02 04:47:00,1
85.0,2021-05-02 05:11:00,0
85.0,2021-05-02 05:31:00,1
85.0,2021-05-02 05:54:00,0
85.0,2021-05-02 06:15:00,1
85.0,2021-05-02 06:20:00,0
84.0,2021-05-02 06:39:00,0
84.0,2021-05-02 07:01:00,1
84.0,2021-05-02 07:25:00,0
84.0,2021-05-02 07:46:00,1
84.0,2021-05-02 08:10:00,0
84.0,2021-05-02 08:32:00,1
84.0,2021-05-02 08:58:00,0
84.0,2021-05-02 09:32:00,1
84.0,2021-05-02 09:56:00,0
85.0,2021-05-02 10:10:00,0
85.68277777770037,2021-05-02 10:30:00,1
86.0,2021-05-02 10:40:00,0
86.0,2021-05-02 11:00:00,1
86.0,2021-05-02 11:26:00,0
86.446707893902,2021-05-02 11:47:00,1
87.0,2021-05-02 12:12:00,0
87.0,2021-05-02 12:33:00,1
87.0,2021-05-02 13:12:00,0
87.0,2021-05-02 13:33:00,1
87.0,2021-05-02 13:43:00,0
87.0,2021-05-02 14:03:00,1
87.0,2021-05-02 14:13:00,0
86.66155133925905,2021-05-02 14:33:00,1
86.0,2021-05-02 15:13:00,0
86.0,2021-05-02 15:34:00,1
86.0,2021-05-02 15:56:00,0
86.0,2021-05-02 16:18:00,1
86.0,2021-05-02 16:43:00,0
85.27036199091403,2021-05-02 17:04:00,1
85.0,2021-05-02 17:12:00,0
85.0,2021-05-02 17:32:00,1
85.0,2021-05-02 18:05:00,0
85.0,2021-05-02 18:26:00,1
85.0,2021-05-02 18:34:00,0
84.18859060380711,2021-05-02 18:54:00,1
84.0,2021-05-02 18:59:00,0
84.0,2021-05-02 19:21:00,1
84.0,2021-05-02 19:28:00,0
84.0,2021-05-02 19:49:00,1
84.0,2021-05-02 20:12:00,0
83.4342701721252,2021-05-02 20:33:00,1
83.0,2021-05-02 20:49:00,0
83.0,2021-05-02 21:09:00,1
83.0,2021-05-02 21:14:00,0
83.0,2021-05-02 21:35:00,1
83.0,2021-05-02 21:51:00,0
82.57304460236988,2021-05-02 22:13:00,1
82.0,2021-05-02 22:43:00,0
82.0,2021-05-02 23:03:00,1
82.0,2021-05-02 23:07:00,0
81.59296320208485,2021-05-02 23:28:00,1
81.0,2021-05-02 23:58:00,0
80.66808573099465,2021-05-03 00:36:00,1
80.0,2021-05-03 01:52:00,0
80.0,2021-05-03 02:12:00,1
80.0,2021-05-03 02:35:00,0
80.0,2021-05-03 02:56:00,1
80.0,2021-05-03 03:27:00,0
79.50721884488144,2021-05-03 03:49:00,1
79.0,2021-05-03 04:11:00,0
78.75582150473889,2021-05-03 04:33:00,1
77.0,2021-05-03 07:11:00,0
77.44655414913686,2021-05-03 07:32:00,1
81.0,2021-05-03 10:20:00,0
82.0,2021-05-03 10:38:00,0
83.0,2021-05-03 11:08:00,0
84.0,2021-05-03 11:23:00,0
85.0,2021-05-03 11:38:00,0
87.0,2021-05-03 11:53:00,0
88.0,2021-05-03 12:08:00,0
90.0,2021-05-03 12:23:00,0
92.0,2021-05-03 12:38:00,0
93.0,2021-05-03 12:53:00,0
95.0,2021-05-03 13:08:00,0
100.0,2021-05-03 13:23:00,0
94.0,2021-05-03 15:53:00,0
93.0,2021-05-03 16:53:00,0
92.0,2021-05-03 18:38:00,0
91.0,2021-05-03 20:23:00,0
90.0,2021-05-03 22:08:00,0
89.0,2021-05-03 23:53:00,0
88.0,2021-05-04 01:38:00,0
87.0,2021-05-04 03:23:00,0
86.0,2021-05-04 05:23:00,0
87.0,2021-05-04 08:53:00,0
88.0,2021-05-04 09:38:00,0
89.0,2021-05-04 09:53:00,0
90.0,2021-05-04 10:38:00,0
91.0,2021-05-04 11:08:00,0
92.0,2021-05-04 11:23:00,0
93.0,2021-05-04 11:38:00,0
94.0,2021-05-04 11:53:00,0
100.0,2021-05-04 12:08:00,0
94.0,2021-05-04 17:08:00,0
93.0,2021-05-04 18:23:00,0
92.0,2021-05-04 20:08:00,0
91.0,2021-05-04 21:53:00,0
90.0,2021-05-04 23:38:00,0
89.0,2021-05-05 01:23:00,0
88.0,2021-05-05 02:53:00,0
87.0,2021-05-05 04:53:00,0
86.0,2021-05-05 07:53:00,0
87.0,2021-05-05 08:08:00,0
86.0,2021-05-05 15:38:00,0
85.0,2021-05-05 17:23:00,0
84.0,2021-05-05 19:08:00,0
83.0,2021-05-05 20:53:00,0
82.0,2021-05-05 22:38:00,0
81.0,2021-05-06 00:23:00,0
80.0,2021-05-06 02:08:00,0
79.0,2021-05-06 03:53:00,0
78.0,2021-05-06 05:23:00,0
79.0,2021-05-06 07:38:00,0
80.0,2021-05-06 09:08:00,0
81.0,2021-05-06 09:38:00,0
82.0,2021-05-06 10:08:00,0
83.0,2021-05-06 10:23:00,0
85.0,2021-05-06 10:38:00,0
86.0,2021-05-06 11:08:00,0
87.0,2021-05-06 11:38:00,0
86.0,2021-05-06 15:38:00,0
85.0,2021-05-06 17:53:00,0
84.0,2021-05-06 19:38:00,0
83.0,2021-05-06 21:38:00,0
82.0,2021-05-06 23:23:00,0
81.0,2021-05-07 01:08:00,0
80.0,2021-05-07 02:53:00,0
79.0,2021-05-07 04:38:00,0
78.0,2021-05-07 06:23:00,0
77.0,2021-05-07 08:23:00,0
80.9073848240496,2021-05-07 09:51:00,1
88.0,2021-05-07 12:29:00,0
89.0,2021-05-07 12:38:00,0
90.0,2021-05-07 12:53:00,0
92.0,2021-05-07 14:38:00,0
93.0,2021-05-07 14:53:00,0
92.0,2021-05-07 16:23:00,0
91.0,2021-05-07 18:08:00,0
90.0,2021-05-07 19:38:00,0
89.0,2021-05-07 21:23:00,0
88.0,2021-05-07 23:08:00,0
87.0,2021-05-08 01:08:00,0
86.0,2021-05-08 02:53:00,0
85.0,2021-05-08 04:38:00,0
84.0,2021-05-08 06:08:00,0
85.0,2021-05-08 09:23:00,0
86.0,2021-05-08 09:53:00,0
87.0,2021-05-08 10:08:00,0
88.0,2021-05-08 10:23:00,0
89.0,2021-05-08 10:38:00,0
90.0,2021-05-08 10:53:00,0
91.0,2021-05-08 11:08:00,0
92.0,2021-05-08 11:23:00,0
93.0,2021-05-08 11:38:00,0
95.0,2021-05-08 11:53:00,0
96.0,2021-05-08 12:08:00,0
97.0,2021-05-08 12:23:00,0
100.0,2021-05-08 12:38:00,0
94.0,2021-05-08 15:53:00,0
93.0,2021-05-08 17:23:00,0
92.0,2021-05-08 19:08:00,0
91.0,2021-05-08 20:38:00,0
90.0,2021-05-08 22:23:00,0
89.0,2021-05-09 00:08:00,0
88.0,2021-05-09 01:53:00,0
87.0,2021-05-09 03:38:00,0
86.0,2021-05-09 05:08:00,0
85.0,2021-05-09 07:08:00,0
86.0,2021-05-09 09:08:00,0
87.0,2021-05-09 09:53:00,0
88.0,2021-05-09 10:08:00,0
89.0,2021-05-09 10:23:00,0
90.0,2021-05-09 10:53:00,0
92.0,2021-05-09 11:08:00,0
